,Regression
0,13.200245800150375
1,13.23099506163974
2,13.261744323129106
3,13.292493584618471
4,13.323242846107835
5,13.353992107597199
6,13.384741369086564
7,13.41549063057593
8,13.446239892065293
9,13.476989153554655
10,13.507738415044024
11,13.538487676533384
12,13.569236938022751
13,13.599986199512115
14,13.63073546100148
15,13.661484722490846
16,13.69223398398021
17,13.722983245469573
18,13.753732506958938
19,13.784481768448302
20,13.815231029937667
21,13.845980291427033
22,13.876729552916396
23,13.90747881440576
24,13.938228075895125
25,13.968977337384489
26,13.999726598873856
27,14.030475860363216
28,14.061225121852587
29,14.091974383341947
30,14.122723644831312
31,14.153472906320676
32,14.184222167810042
33,14.214971429299405
34,14.24572069078877
35,14.276469952278134
36,14.3072192137675
37,14.337968475256865
38,14.368717736746227
39,14.399466998235592
40,14.430216259724958
41,14.460965521214321
42,14.491714782703689
43,14.52246404419305
44,14.553213305682414
45,14.58396256717178
46,14.614711828661143
47,14.645461090150508
48,14.676210351639874
49,14.706959613129234
50,14.737708874618606
51,14.768458136107967
52,14.799207397597332
53,14.829956659086696
54,14.86070592057606
55,14.891455182065425
56,14.92220444355479
57,14.952953705044155
58,14.983702966533516
59,15.014452228022884
60,15.045201489512248
61,15.075950751001614
62,15.106700012490974
63,15.13744927398034
64,15.168198535469706
65,15.198947796959072
66,15.229697058448432
67,15.2604463199378
68,15.291195581427164
69,15.321944842916526
70,15.352694104405892
71,15.383443365895257
72,15.414192627384622
73,15.444941888873984
74,15.47569115036335
75,15.506440411852715
76,15.53718967334208
77,15.567938934831446
78,15.598688196320806
79,15.629437457810173
80,15.660186719299539
81,15.690935980788904
82,15.721685242278266
83,15.752434503767633
84,15.783183765256993
85,15.813933026746358
86,15.844682288235724
87,15.87543154972509
88,15.906180811214455
89,15.93693007270382
90,15.967679334193182
91,15.998428595682547
92,16.029177857171913
93,16.059927118661275
94,16.09067638015064
95,16.121425641640005
96,16.15217490312937
97,16.182924164618733
98,16.213673426108098
99,16.244422687597467
100,16.27517194908683
101,16.305921210576187
102,16.336670472065553
103,16.367419733554918
104,16.398168995044287
105,16.428918256533652
106,16.459667518023018
107,16.490416779512383
108,16.521166041001745
109,16.551915302491107
110,16.582664563980472
111,16.613413825469838
112,16.644163086959203
113,16.674912348448565
114,16.70566160993793
115,16.736410871427296
116,16.767160132916658
117,16.797909394406027
118,16.828658655895392
119,16.859407917384754
