,Regression
0,-27.561157713025608
1,-27.344985113078994
2,-27.128812513132377
3,-26.912639913185764
4,-26.69646731323915
5,-26.480294713292537
6,-26.264122113345923
7,-26.047949513399306
8,-25.831776913452693
9,-25.61560431350608
10,-25.399431713559466
11,-25.183259113612852
12,-24.967086513666235
13,-24.75091391371962
14,-24.534741313773004
15,-24.31856871382639
16,-24.10239611387977
17,-23.886223513933164
18,-23.67005091398655
19,-23.45387831403993
20,-23.23770571409332
21,-23.021533114146706
22,-22.805360514200093
23,-22.58918791425348
24,-22.373015314306866
25,-22.156842714360245
26,-21.940670114413628
27,-21.724497514467014
28,-21.508324914520408
29,-21.292152314573787
30,-21.075979714627174
31,-20.85980711468056
32,-20.64363451473395
33,-20.42746191478733
34,-20.21128931484072
35,-19.995116714894106
36,-19.77894411494749
37,-19.562771515000875
38,-19.346598915054262
39,-19.130426315107645
40,-18.91425371516103
41,-18.698081115214414
42,-18.4819085152678
43,-18.265735915321187
44,-18.04956331537457
45,-17.83339071542796
46,-17.617218115481343
47,-17.40104551553473
48,-17.184872915588116
49,-16.968700315641502
50,-16.752527715694885
51,-16.536355115748268
52,-16.320182515801655
53,-16.104009915855045
54,-15.887837315908428
55,-15.671664715961814
56,-15.455492116015199
57,-15.239319516068585
58,-15.023146916121972
59,-14.806974316175356
60,-14.59080171622874
61,-14.374629116282128
62,-14.15845651633551
63,-13.9422839163889
64,-13.726111316442285
65,-13.509938716495668
66,-13.293766116549056
67,-13.07759351660244
68,-12.861420916655824
69,-12.64524831670921
70,-12.429075716762595
71,-12.212903116815982
72,-11.996730516869366
73,-11.780557916922753
74,-11.56438531697614
75,-11.348212717029526
76,-11.132040117082909
77,-10.915867517136297
78,-10.699694917189682
79,-10.483522317243068
80,-10.267349717296455
81,-10.051177117349836
82,-9.835004517403224
83,-9.618831917456609
84,-9.402659317509992
85,-9.186486717563382
86,-8.970314117616766
87,-8.754141517670153
88,-8.537968917723536
89,-8.321796317776924
90,-8.105623717830309
91,-7.889451117883695
92,-7.673278517937077
93,-7.457105917990464
94,-7.240933318043852
95,-7.024760718097237
96,-6.80858811815062
97,-6.5924155182040085
98,-6.376242918257392
99,-6.160070318310777
100,-5.943897718364163
101,-5.727725118417549
102,-5.511552518470936
103,-5.295379918524318
104,-5.079207318577705
105,-4.863034718631091
106,-4.646862118684479
107,-4.430689518737862
108,-4.214516918791247
109,-3.9983443188446337
110,-3.7821717188980197
111,-3.5659991189514035
112,-3.3498265190047896
113,-3.1336539190581765
114,-2.9174813191115625
115,-2.7013087191649454
116,-2.4851361192183323
117,-2.2689635192717184
118,-2.052790919325105
119,-1.836618319378488
120,-1.6204457194318742
121,-1.404273119485261
122,-1.1881005195386471
123,-0.97192791959203
124,-0.7557553196454165
125,-0.539582719698803
126,-0.3234101197521895
127,-0.1072375198055724
128,0.10893508014104114
129,0.3251076800876547
130,0.5412802800342718
131,0.7574528799808853
132,0.9736254799274988
133,1.1897980798741123
134,1.4059706798207294
135,1.6221432797673432
136,1.8383158797139565
137,2.05448847966057
138,2.270661079607187
139,2.4868336795538006
140,2.703006279500414
141,2.919178879447028
142,3.135351479393645
143,3.3515240793402583
144,3.5676966792868723
145,3.783869279233485
146,4.000041879180103
147,4.216214479126716
148,4.4323870790733295
149,4.6485596790199475
150,4.864732278966557
151,5.080904878913174
152,5.297077478859791
153,5.513250078806402
154,5.729422678753017
155,5.945595278699628
156,6.161767878646245
157,6.377940478592862
158,6.594113078539473
159,6.810285678486088
160,7.026458278432707
161,7.242630878379316
162,7.458803478325932
163,7.67497607827255
164,7.89114867821916
165,8.107321278165777
166,8.323493878112387
167,8.539666478059003
168,8.755839078005621
169,8.97201167795223
170,9.188184277898849
171,9.404356877845467
