,Regression
0,44.16594324760467
1,44.19433450481905
2,44.222725762033406
3,44.25111701924777
4,44.279508276462145
5,44.30789953367651
6,44.336290790890864
7,44.36468204810524
8,44.393073305319604
9,44.42146456253396
10,44.44985581974832
11,44.4782470769627
12,44.50663833417706
13,44.53502959139142
14,44.56342084860579
15,44.59181210582015
16,44.62020336303453
17,44.64859462024889
18,44.676985877463245
19,44.70537713467761
20,44.73376839189198
21,44.76215964910634
22,44.79055090632072
23,44.81894216353507
24,44.847333420749436
25,44.8757246779638
26,44.904115935178176
27,44.93250719239253
28,44.960898449606894
29,44.98928970682126
30,45.017680964035634
31,45.04607222124999
32,45.07446347846435
33,45.10285473567872
34,45.13124599289309
35,45.15963725010745
36,45.188028507321825
37,45.216419764536184
38,45.244811021750536
39,45.27320227896491
40,45.30159353617928
41,45.32998479339364
42,45.35837605060801
43,45.38676730782237
44,45.41515856503675
45,45.4435498222511
46,45.471941079465466
47,45.50033233667983
48,45.528723593894185
49,45.55711485110856
50,45.585506108322924
51,45.61389736553729
52,45.64228862275166
53,45.67067987996602
54,45.69907113718038
55,45.72746239439475
56,45.755853651609115
57,45.78424490882348
58,45.81263616603785
59,45.841027423252214
60,45.869418680466566
61,45.89780993768094
62,45.9262011948953
63,45.95459245210967
64,45.98298370932404
65,46.0113749665384
66,46.03976622375278
67,46.06815748096713
68,46.0965487381815
69,46.12493999539586
70,46.153331252610215
71,46.18172250982459
72,46.21011376703896
73,46.238505024253314
74,46.26689628146767
75,46.295287538682054
76,46.323678795896406
77,46.35207005311078
78,46.38046131032514
79,46.40885256753951
80,46.437243824753864
81,46.46563508196824
82,46.494026339182604
83,46.52241759639696
84,46.55080885361133
85,46.5792001108257
86,46.60759136804007
87,46.63598262525443
88,46.664373882468794
89,46.692765139683154
90,46.72115639689753
91,46.74954765411189
92,46.777938911326245
93,46.80633016854061
94,46.83472142575498
95,46.863112682969344
96,46.8915039401837
97,46.919895197398084
98,46.948286454612436
99,46.9766777118268
100,47.005068969041176
101,47.03346022625554
102,47.061851483469894
103,47.09024274068426
104,47.118633997898634
105,47.14702525511299
106,47.17541651232736
107,47.20380776954173
108,47.2321990267561
109,47.26059028397045
110,47.28898154118482
111,47.317372798399184
112,47.34576405561354
113,47.374155312827924
114,47.40254657004228
115,47.43093782725664
116,47.45932908447101
117,47.48772034168538
118,47.51611159889975
119,47.5445028561141
120,47.572894113328466
121,47.60128537054283
122,47.629676627757206
123,47.65806788497157
124,47.686459142185925
125,47.71485039940029
126,47.74324165661466
127,47.77163291382902
128,47.80002417104339
129,47.82841542825775
130,47.856806685472115
131,47.885197942686474
132,47.913589199900855
133,47.94198045711522
134,47.970371714329566
135,47.99876297154394
136,48.02715422875831
137,48.05554548597267
138,48.08393674318704
139,48.112328000401405
140,48.14071925761576
141,48.16911051483013
142,48.1975017720445
143,48.22589302925886
144,48.254284286473215
145,48.28267554368759
146,48.311066800901955
147,48.33945805811632
148,48.36784931533069
149,48.396240572545054
150,48.424631829759406
151,48.45302308697378
152,48.481414344188146
153,48.50980560140251
154,48.538196858616864
155,48.566588115831244
156,48.5949793730456
157,48.62337063025997
158,48.65176188747434
159,48.6801531446887
160,48.70854440190307
161,48.73693565911743
162,48.76532691633179
163,48.793718173546154
164,48.82210943076053
165,48.85050068797489
166,48.878891945189245
167,48.90728320240362
168,48.935674459618
169,48.964065716832344
170,48.99245697404671
171,49.020848231261084
172,49.049239488475436
173,49.07763074568981
174,49.10602200290417
175,49.13441326011854
176,49.162804517332894
177,49.191195774547275
178,49.219587031761634
179,49.24797828897599
180,49.27636954619036
181,49.30476080340472
182,49.3331520606191
183,49.36154331783346
184,49.38993457504782
185,49.418325832262184
186,49.44671708947655
187,49.475108346690924
188,49.503499603905276
189,49.53189086111965
190,49.56028211833401
191,49.58867337554838
192,49.61706463276275
193,49.645455889977114
194,49.67384714719146
195,49.70223840440583
196,49.730629661620206
197,49.75902091883457
198,49.787412176048925
199,49.81580343326329
200,49.84419469047766
201,49.87258594769202
202,49.90097720490639
203,49.92936846212076
204,49.957759719335115
205,49.986150976549474
206,50.01454223376385
207,50.042933490978214
208,50.07132474819258
209,50.099716005406954
210,50.1281072626213
211,50.15649851983567
212,50.18488977705004
213,50.213281034264405
214,50.24167229147878
215,50.27006354869313
216,50.2984548059075
217,50.32684606312186
218,50.35523732033623
219,50.3836285775506
220,50.412019834764955
221,50.44041109197932
222,50.46880234919369
223,50.49719360640804
224,50.525584863622406
225,50.55397612083678
226,50.58236737805114
227,50.61075863526551
228,50.639149892479885
229,50.667541149694244
230,50.69593240690861
231,50.72432366412297
232,50.75271492133735
233,50.7811061785517
234,50.809497435766055
235,50.837888692980435
236,50.866279950194794
237,50.894671207409154
238,50.92306246462353
239,50.95145372183789
240,50.979844979052245
241,51.00823623626661
242,51.03662749348098
243,51.06501875069535
244,51.09341000790971
245,51.121801265124084
246,51.150192522338436
247,51.17858377955281
248,51.206975036767176
249,51.23536629398154
250,51.2637575511959
251,51.292148808410275
252,51.32054006562464
253,51.348931322839
254,51.37732258005336
255,51.405713837267726
256,51.4341050944821
257,51.462496351696466
258,51.49088760891082
259,51.519278866125184
260,51.54767012333955
261,51.576061380553924
262,51.604452637768276
263,51.63284389498265
264,51.66123515219701
265,51.68962640941138
266,51.71801766662574
267,51.746408923840114
268,51.77480018105448
269,51.80319143826884
270,51.831582695483206
271,51.85997395269757
272,51.88836520991193
273,51.91675646712629
274,51.94514772434066
275,51.97353898155502
276,52.00193023876939
277,52.030321495983756
278,52.058712753198115
279,52.087104010412496
280,52.11549526762685
281,52.14388652484122
282,52.17227778205558
283,52.200669039269954
284,52.229060296484306
285,52.25745155369867
286,52.28584281091304
287,52.314234068127405
288,52.34262532534178
289,52.371016582556145
290,52.3994078397705
291,52.42779909698486
292,52.45619035419923
293,52.4845816114136
294,52.512972868627955
295,52.54136412584232
296,52.56975538305669
297,52.59814664027106
298,52.62653789748542
299,52.654929154699786
300,52.683320411914146
301,52.711711669128505
302,52.74010292634288
303,52.76849418355725
304,52.7968854407716
305,52.82527669798597
306,52.85366795520035
307,52.8820592124147
308,52.91045046962907
309,52.938841726843435
310,52.9672329840578
311,52.995624241272154
312,53.02401549848653
313,53.05240675570089
314,53.080798012915245
315,53.10918927012961
316,53.137580527343985
317,53.16597178455835
318,53.19436304177272
319,53.22275429898709
320,53.25114555620145
321,53.27953681341582
322,53.307928070630176
323,53.33631932784454
324,53.3647105850589
325,53.393101842273275
326,53.42149309948763
327,53.449884356702
328,53.47827561391637
329,53.506666871130726
330,53.5350581283451
331,53.563449385559466
332,53.59184064277383
333,53.620231899988184
334,53.64862315720255
335,53.677014414416924
336,53.705405671631276
337,53.73379692884564
338,53.76218818606003
339,53.79057944327438
340,53.81897070048875
341,53.847361957703114
342,53.87575321491747
343,53.90414447213185
344,53.932535729346206
345,53.96092698656057
346,53.98931824377493
347,54.01770950098929
348,54.04610075820366
349,54.07449201541803
350,54.1028832726324
351,54.131274529846756
352,54.15966578706112
353,54.188057044275496
354,54.21644830148986
355,54.244839558704214
356,54.27323081591858
357,54.301622073132954
358,54.330013330347306
359,54.35840458756169
360,54.386795844776046
361,54.415187101990405
362,54.44357835920477
363,54.471969616419145
364,54.5003608736335
365,54.528752130847856
366,54.55714338806223
367,54.5855346452766
368,54.61392590249096
369,54.64231715970532
370,54.6707084169197
371,54.69909967413405
372,54.72749093134842
373,54.75588218856279
374,54.78427344577715
375,54.812664702991505
376,54.84105596020588
377,54.86944721742025
378,54.89783847463461
379,54.92622973184898
380,54.954620989063336
381,54.9830122462777
382,55.01140350349207
383,55.039794760706435
384,55.0681860179208
385,55.096577275135154
386,55.12496853234953
387,55.15335978956389
388,55.18175104677826
389,55.21014230399263
390,55.23853356120699
391,55.26692481842135
392,55.29531607563572
393,55.32370733285008
394,55.35209859006445
395,55.38048984727882
396,55.408881104493176
397,55.437272361707535
398,55.46566361892191
399,55.49405487613628
400,55.52244613335064
401,55.55083739056501
402,55.57922864777937
403,55.607619904993726
404,55.6360111622081
405,55.664402419422466
406,55.69279367663682
407,55.721184933851184
408,55.74957619106556
409,55.777967448279924
410,55.80635870549429
411,55.83474996270864
412,55.86314121992302
413,55.89153247713738
414,55.91992373435175
415,55.94831499156611
416,55.97670624878048
417,56.00509750599485
418,56.033488763209206
419,56.06188002042357
420,56.09027127763794
421,56.1186625348523
422,56.14705379206666
423,56.17544504928104
424,56.2038363064954
425,56.232227563709756
426,56.26061882092412
427,56.289010078138496
428,56.31740133535286
429,56.345792592567214
430,56.37418384978159
431,56.402575106995954
432,56.43096636421031
433,56.45935762142467
434,56.48774887863905
435,56.516140135853405
436,56.54453139306777
437,56.572922650282145
438,56.6013139074965
439,56.62970516471086
440,56.65809642192524
441,56.6864876791396
442,56.71487893635396
443,56.74327019356833
444,56.7716614507827
445,56.80005270799707
446,56.82844396521142
447,56.85683522242579
448,56.88522647964015
449,56.913617736854526
450,56.94200899406889
451,56.97040025128325
452,56.99879150849761
453,57.02718276571198
454,57.05557402292634
455,57.0839652801407
456,57.11235653735507
457,57.140747794569435
458,57.1691390517838
459,57.197530308998175
460,57.22592156621253
461,57.25431282342689
462,57.28270408064126
463,57.31109533785562
464,57.33948659506999
465,57.36787785228436
466,57.39626910949872
467,57.42466036671309
468,57.45305162392745
469,57.481442881141824
470,57.50983413835618
471,57.53822539557054
472,57.56661665278491
473,57.59500790999928
474,57.62339916721364
475,57.65179042442799
476,57.68018168164237
477,57.708572938856726
478,57.7369641960711
479,57.765355453285466
480,57.79374671049983
481,57.822137967714205
482,57.85052922492856
483,57.878920482142924
484,57.90731173935729
485,57.93570299657165
486,57.96409425378602
487,57.99248551100038
488,58.02087676821475
489,58.049268025429114
490,58.07765928264348
491,58.106050539857854
492,58.13444179707221
493,58.162833054286565
494,58.19122431150094
495,58.2196155687153
496,58.24800682592966
497,58.27639808314404
498,58.3047893403584
499,58.333180597572756
500,58.36157185478713
501,58.389963112001496
502,58.41835436921586
503,58.446745626430214
504,58.47513688364459
505,58.50352814085897
506,58.53191939807331
507,58.56031065528767
508,58.58870191250205
509,58.617093169716405
510,58.64548442693078
511,58.67387568414514
512,58.702266941359504
513,58.73065819857386
514,58.759049455788244
515,58.7874407130026
516,58.81583197021696
517,58.84422322743133
518,58.8726144846457
519,58.90100574186007
520,58.92939699907443
521,58.957788256288794
522,58.98617951350315
523,59.014570770717526
524,59.04296202793189
525,59.071353285146245
526,59.09974454236061
527,59.12813579957498
528,59.15652705678934
529,59.18491831400372
530,59.21330957121808
531,59.241700828432435
532,59.2700920856468
533,59.298483342861175
534,59.32687460007554
535,59.35526585728989
536,59.38365711450426
537,59.41204837171863
538,59.44043962893299
539,59.46883088614736
540,59.49722214336173
541,59.5256134005761
542,59.55400465779045
543,59.58239591500482
544,59.61078717221918
545,59.63917842943355
546,59.6675696866479
547,59.69596094386229
548,59.72435220107664
549,59.75274345829101
550,59.78113471550538
551,59.80952597271975
552,59.8379172299341
553,59.866308487148466
554,59.89469974436283
555,59.923091001577205
556,59.951482258791565
557,59.979873516005924
558,60.00826477322029
559,60.036656030434656
560,60.06504728764902
561,60.09343854486339
562,60.12182980207775
563,60.15022105929211
564,60.17861231650648
565,60.20700357372085
566,60.23539483093521
567,60.263786088149566
568,60.29217734536394
569,60.32056860257831
570,60.34895985979267
571,60.37735111700704
572,60.40574237422141
573,60.434133631435756
574,60.46252488865013
575,60.490916145864496
576,60.51930740307886
577,60.547698660293214
578,60.57608991750759
579,60.604481174721954
580,60.63287243193632
581,60.66126368915069
582,60.68965494636505
583,60.718046203579405
584,60.74643746079378
585,60.77482871800814
586,60.803219975222504
587,60.83161123243687
588,60.860002489651244
589,60.8883937468656
590,60.91678500407997
591,60.94517626129434
592,60.9735675185087
593,61.00195877572307
594,61.030350032937434
595,61.05874129015179
596,61.08713254736615
597,61.115523804580526
598,61.14391506179489
599,61.172306319009245
600,61.20069757622362
601,61.22908883343798
602,61.25748009065235
603,61.28587134786671
604,61.31426260508108
605,61.342653862295435
606,61.371045119509795
607,61.399436376724175
608,61.427827633938534
609,61.45621889115289
610,61.484610148367274
