,Regression
0,6.187769925383552
1,6.191123672944987
2,6.194477420506419
3,6.197831168067852
4,6.201184915629287
5,6.2045386631907204
6,6.2078924107521525
7,6.211246158313588
8,6.21459990587502
9,6.217953653436455
10,6.221307400997888
11,6.2246611485593215
12,6.228014896120754
13,6.231368643682188
14,6.234722391243621
15,6.238076138805054
16,6.241429886366488
17,6.2447836339279235
18,6.248137381489356
19,6.251491129050789
20,6.254844876612222
21,6.258198624173657
22,6.26155237173509
23,6.264906119296524
24,6.2682598668579566
25,6.27161361441939
26,6.274967361980824
27,6.278321109542258
28,6.281674857103691
29,6.285028604665125
30,6.288382352226558
31,6.291736099787991
32,6.295089847349424
33,6.298443594910857
34,6.301797342472294
35,6.305151090033727
36,6.308504837595159
37,6.3118585851565925
38,6.315212332718026
39,6.318566080279458
40,6.321919827840892
41,6.325273575402327
42,6.32862732296376
43,6.3319810705251935
44,6.335334818086627
45,6.338688565648061
46,6.342042313209494
47,6.345396060770928
48,6.348749808332363
49,6.3521035558937955
50,6.3554573034552275
51,6.358811051016662
52,6.362164798578094
53,6.365518546139529
54,6.368872293700964
55,6.372226041262397
56,6.3755797888238295
57,6.378933536385263
58,6.382287283946696
59,6.38564103150813
60,6.388994779069563
61,6.392348526630998
62,6.395702274192431
63,6.3990560217538635
64,6.402409769315297
65,6.405763516876731
66,6.409117264438166
67,6.412471011999598
68,6.4158247595610325
69,6.419178507122465
70,6.422532254683897
71,6.425886002245332
72,6.429239749806767
73,6.432593497368199
74,6.4359472449296335
75,6.4393009924910665
76,6.442654740052499
77,6.446008487613933
78,6.449362235175368
79,6.452715982736801
80,6.456069730298233
81,6.459423477859668
82,6.462777225421102
83,6.466130972982534
84,6.469484720543967
85,6.472838468105402
86,6.476192215666836
87,6.479545963228269
88,6.4828997107897015
89,6.486253458351135
90,6.489607205912568
91,6.492960953474003
92,6.496314701035437
93,6.49966844859687
94,6.503022196158304
95,6.506375943719736
96,6.509729691281169
97,6.513083438842603
98,6.516437186404038
99,6.519790933965472
100,6.5231446815269045
101,6.526498429088337
102,6.529852176649772
103,6.533205924211205
104,6.536559671772637
105,6.539913419334072
106,6.5432671668955065
107,6.5466209144569385
108,6.549974662018371
109,6.553328409579806
110,6.55668215714124
111,6.560035904702673
112,6.5633896522641075
113,6.5667433998255405
114,6.5700971473869725
115,6.573450894948407
116,6.576804642509841
117,6.580158390071273
118,6.583512137632708
119,6.5868658851941415
120,6.590219632755574
121,6.593573380317007
122,6.596927127878442
123,6.600280875439875
124,6.603634623001309
125,6.606988370562742
126,6.610342118124176
127,6.613695865685608
128,6.617049613247043
129,6.620403360808476
130,6.623757108369911
131,6.627110855931344
132,6.6304646034927766
133,6.6338183510542095
134,6.637172098615644
135,6.640525846177077
136,6.643879593738512
137,6.647233341299945
138,6.6505870888613785
139,6.653940836422811
140,6.657294583984245
141,6.660648331545678
142,6.664002079107113
143,6.667355826668546
144,6.6707095742299805
145,6.6740633217914125
146,6.677417069352846
147,6.680770816914281
148,6.684124564475713
149,6.687478312037148
150,6.690832059598581
151,6.6941858071600135
152,6.697539554721447
153,6.70089330228288
154,6.704247049844314
155,6.707600797405747
156,6.710954544967183
157,6.714308292528615
158,6.717662040090048
159,6.721015787651483
160,6.724369535212915
161,6.727723282774348
162,6.731077030335783
163,6.7344307778972174
164,6.7377845254586495
165,6.7411382730200815
166,6.744492020581516
167,6.747845768142951
168,6.751199515704384
169,6.754553263265817
170,6.7579070108272505
171,6.7612607583886835
172,6.764614505950117
173,6.76796825351155
174,6.771322001072985
175,6.77467574863442
176,6.7780294961958525
177,6.7813832437572845
178,6.784736991318718
179,6.788090738880153
180,6.791444486441586
181,6.79479823400302
182,6.798151981564453
183,6.801505729125887
184,6.80485947668732
185,6.808213224248752
186,6.811566971810187
187,6.814920719371622
188,6.818274466933054
189,6.821628214494488
190,6.8249819620559204
191,6.828335709617353
192,6.831689457178787
193,6.835043204740223
194,6.838396952301656
195,6.8417506998630895
196,6.845104447424522
197,6.848458194985954
198,6.851811942547388
199,6.855165690108823
200,6.8585194376702585
201,6.8618731852316905
202,6.865226932793124
203,6.868580680354557
204,6.87193442791599
205,6.875288175477424
206,6.878641923038857
207,6.881995670600292
208,6.8853494181617245
209,6.8887031657231566
210,6.89205691328459
211,6.895410660846026
212,6.898764408407459
213,6.902118155968893
214,6.905471903530326
215,6.908825651091759
216,6.912179398653192
