,Regression
0,37.91019290051507
1,37.900871594190384
2,37.891550287865684
3,37.88222898154101
4,37.87290767521631
5,37.863586368891625
6,37.85426506256693
7,37.84494375624225
8,37.835622449917544
9,37.826301143592865
10,37.81697983726818
11,37.80765853094349
12,37.7983372246188
13,37.7890159182941
14,37.779694611969425
15,37.770373305644725
16,37.76105199932004
17,37.75173069299535
18,37.74240938667066
19,37.73308808034597
20,37.723766774021286
21,37.71444546769659
22,37.7051241613719
23,37.69580285504721
24,37.686481548722526
25,37.677160242397825
26,37.66783893607314
27,37.65851762974845
28,37.64919632342377
29,37.63987501709907
30,37.630553710774386
31,37.621232404449685
32,37.611911098125006
33,37.60258979180031
34,37.593268485475626
35,37.58394717915094
36,37.57462587282625
37,37.56530456650156
38,37.555983260176866
39,37.54666195385218
40,37.53734064752749
41,37.5280193412028
42,37.5186980348781
43,37.50937672855343
44,37.500055422228726
45,37.49073411590404
46,37.48141280957935
47,37.47209150325466
48,37.46277019692997
49,37.45344889060528
50,37.444127584280594
51,37.4348062779559
52,37.425484971631214
53,37.41616366530653
54,37.40684235898184
55,37.39752105265715
56,37.388199746332454
57,37.378878440007774
58,37.369557133683074
59,37.36023582735839
60,37.350914521033694
61,37.34159321470901
62,37.33227190838432
63,37.322950602059635
64,37.31362929573494
65,37.30430798941025
66,37.29498668308556
67,37.28566537676087
68,37.27634407043618
69,37.26702276411149
70,37.2577014577868
71,37.248380151462115
72,37.23905884513742
73,37.229737538812735
74,37.22041623248804
75,37.21109492616336
76,37.201773619838654
77,37.192452313513975
78,37.18313100718928
79,37.1738097008646
80,37.1644883945399
81,37.155167088215215
82,37.14584578189053
83,37.13652447556584
84,37.12720316924115
85,37.117881862916455
86,37.108560556591776
87,37.099239250267075
88,37.08991794394239
89,37.0805966376177
90,37.07127533129301
91,37.061954024968315
92,37.05263271864363
93,37.043311412318936
94,37.03399010599425
95,37.02466879966956
96,37.01534749334488
97,37.006026187020176
98,36.99670488069549
99,36.987383574370796
100,36.978062268046116
101,36.96874096172142
102,36.959419655396744
103,36.950098349072036
104,36.94077704274736
105,36.93145573642267
106,36.92213443009798
107,36.91281312377329
108,36.903491817448604
109,36.8941705111239
110,36.88484920479922
111,36.87552789847453
112,36.866206592149844
113,36.85688528582515
114,36.84756397950047
115,36.83824267317577
116,36.82892136685109
117,36.81960006052639
118,36.8102787542017
119,36.800957447877
120,36.79163614155232
121,36.78231483522763
122,36.772993528902944
123,36.76367222257826
124,36.75435091625357
125,36.745029609928885
126,36.73570830360418
127,36.7263869972795
128,36.7170656909548
129,36.70774438463012
130,36.698423078305424
131,36.689101771980745
132,36.679780465656044
133,36.67045915933136
134,36.66113785300667
135,36.65181654668198
136,36.64249524035729
137,36.633173934032605
138,36.623852627707905
139,36.61453132138322
140,36.60521001505853
141,36.59588870873385
142,36.586567402409145
143,36.57724609608447
144,36.56792478975977
145,36.55860348343509
146,36.54928217711039
147,36.539960870785706
148,36.530639564461005
149,36.52131825813633
150,36.51199695181164
151,36.50267564548695
152,36.49335433916226
153,36.48403303283757
154,36.474711726512886
155,36.465390420188186
156,36.4560691138635
157,36.44674780753881
158,36.43742650121412
159,36.42810519488943
160,36.41878388856475
161,36.409462582240046
162,36.40014127591536
163,36.39081996959067
164,36.38149866326598
165,36.37217735694129
166,36.36285605061661
167,36.353534744291906
168,36.34421343796723
169,36.33489213164253
170,36.32557082531785
171,36.316249518993146
172,36.30692821266847
173,36.29760690634377
174,36.288285600019094
175,36.2789642936944
176,36.26964298736971
177,36.26032168104502
178,36.25100037472033
179,36.24167906839564
180,36.232357762070954
181,36.22303645574626
182,36.213715149421574
183,36.20439384309688
184,36.19507253677219
185,36.1857512304475
186,36.17642992412281
187,36.16710861779812
188,36.157787311473434
189,36.14846600514874
190,36.139144698824055
191,36.12982339249936
192,36.12050208617468
193,36.111180779849995
194,36.101859473525295
195,36.09253816720061
196,36.08321686087592
197,36.07389555455122
198,36.064574248226535
199,36.05525294190185
200,36.045931635577155
201,36.03661032925247
202,36.02728902292778
203,36.017967716603096
204,36.008646410278395
205,35.99932510395371
206,35.99000379762902
207,35.98068249130433
208,35.97136118497964
209,35.96203987865495
210,35.952718572330255
211,35.943397266005576
212,35.93407595968088
213,35.9247546533562
214,35.915433347031495
215,35.90611204070681
216,35.89679073438212
217,35.887469428057436
218,35.87814812173275
219,35.868826815408056
220,35.85950550908337
221,35.850184202758676
222,35.84086289643399
223,35.831541590109296
224,35.82222028378461
225,35.81289897745992
226,35.80357767113522
227,35.794256364810536
228,35.78493505848585
229,35.775613752161156
230,35.76629244583647
231,35.75697113951178
232,35.7476498331871
233,35.738328526862404
234,35.72900722053771
235,35.719685914213024
236,35.710364607888344
237,35.70104330156365
238,35.691721995238964
239,35.682400688914264
240,35.67307938258958
241,35.663758076264884
242,35.654436769940204
243,35.64511546361551
244,35.635794157290825
245,35.62647285096613
246,35.61715154464144
247,35.60783023831675
248,35.598508931992065
249,35.589187625667364
250,35.57986631934268
251,35.57054501301799
252,35.5612237066933
253,35.55190240036861
254,35.542581094043925
255,35.533259787719224
256,35.523938481394545
257,35.51461717506985
258,35.505295868745165
259,35.49597456242047
260,35.48665325609578
261,35.477331949771106
262,35.468010643446405
263,35.45868933712172
264,35.449368030797025
265,35.44004672447234
266,35.43072541814765
267,35.421404111822966
268,35.412082805498265
269,35.40276149917358
270,35.393440192848885
271,35.384118886524206
272,35.374797580199505
273,35.36547627387482
274,35.35615496755013
275,35.34683366122544
276,35.33751235490075
277,35.328191048576066
278,35.318869742251366
279,35.309548435926686
280,35.30022712960199
281,35.290905823277306
282,35.28158451695261
283,35.272263210627926
284,35.262941904303226
285,35.253620597978546
286,35.24429929165385
287,35.234977985329174
288,35.225656679004466
289,35.21633537267979
290,35.2070140663551
291,35.19769276003041
292,35.18837145370572
293,35.17905014738103
294,35.16972884105634
295,35.160407534731654
296,35.15108622840696
297,35.141764922082274
298,35.13244361575758
299,35.123122309432894
300,35.1138010031082
301,35.104479696783514
302,35.09515839045882
303,35.08583708413413
304,35.07651577780944
305,35.067194471484754
306,35.05787316516007
307,35.048551858835374
308,35.03923055251069
309,35.029909246185994
310,35.02058793986131
311,35.01126663353661
312,35.00194532721193
313,34.992624020887234
314,34.98330271456255
315,34.973981408237854
316,34.96466010191317
317,34.95533879558848
318,34.94601748926379
319,34.9366961829391
320,34.92737487661441
321,34.918053570289715
322,34.908732263965035
323,34.899410957640335
324,34.89008965131565
325,34.88076834499096
326,34.871447038666275
327,34.86212573234158
328,34.85280442601689
329,34.843483119692195
330,34.834161813367515
331,34.824840507042815
332,34.815519200718136
333,34.80619789439345
334,34.79687658806876
335,34.78755528174407
336,34.778233975419376
337,34.76891266909469
338,34.75959136277
339,34.75027005644531
340,34.74094875012062
341,34.73162744379593
342,34.722306137471236
343,34.71298483114655
344,34.703663524821856
345,34.69434221849717
346,34.68502091217248
347,34.67569960584779
348,34.6663782995231
349,34.65705699319841
350,34.647735686873716
351,34.63841438054904
352,34.629093074224336
353,34.619771767899664
354,34.61045046157496
355,34.601129155250284
356,34.591807848925576
357,34.5824865426009
358,34.57316523627621
359,34.56384392995152
360,34.55452262362683
361,34.545201317302144
362,34.53588001097745
363,34.526558704652764
364,34.51723739832807
365,34.50791609200338
366,34.49859478567869
367,34.489273479354004
368,34.47995217302931
369,34.470630866704624
370,34.46130956037993
371,34.451988254055244
372,34.44266694773055
373,34.433345641405865
374,34.42402433508117
375,34.414703028756485
376,34.405381722431805
377,34.396060416107105
378,34.386739109782425
379,34.377417803457725
380,34.36809649713304
381,34.358775190808345
382,34.34945388448366
383,34.34013257815897
384,34.330811271834285
385,34.32148996550959
386,34.3121686591849
387,34.30284735286021
388,34.29352604653552
389,34.28420474021083
390,34.27488343388614
391,34.26556212756145
392,34.256240821236766
393,34.24691951491207
394,34.237598208587386
395,34.22827690226269
396,34.21895559593801
397,34.20963428961331
398,34.200312983288626
399,34.19099167696393
400,34.181670370639246
401,34.17234906431456
402,34.163027757989866
403,34.15370645166518
404,34.14438514534049
405,34.1350638390158
406,34.125742532691106
407,34.11642122636642
408,34.10709992004173
409,34.09777861371704
410,34.088457307392346
411,34.07913600106766
412,34.06981469474297
413,34.06049338841829
414,34.05117208209359
415,34.0418507757689
416,34.03252946944421
417,34.02320816311952
418,34.013886856794834
419,34.00456555047015
420,33.995244244145454
421,33.98592293782077
422,33.976601631496074
423,33.96728032517139
424,33.957959018846694
425,33.94863771252201
426,33.939316406197314
427,33.92999509987263
428,33.92067379354794
429,33.91135248722325
430,33.902031180898554
431,33.89270987457387
432,33.88338856824918
433,33.87406726192449
434,33.8647459555998
435,33.85542464927511
436,33.84610334295042
437,33.83678203662573
438,33.827460730301034
439,33.818139423976355
440,33.80881811765166
441,33.79949681132697
442,33.79017550500228
443,33.780854198677595
444,33.77153289235291
445,33.76221158602821
446,33.75289027970353
447,33.743568973378835
448,33.73424766705415
449,33.72492636072945
450,33.71560505440477
451,33.706283748080075
452,33.69696244175539
453,33.687641135430695
454,33.67831982910601
455,33.66899852278132
456,33.65967721645663
457,33.65035591013194
458,33.64103460380725
459,33.631713297482555
460,33.62239199115787
461,33.613070684833176
462,33.603749378508496
463,33.5944280721838
464,33.58510676585912
465,33.57578545953442
466,33.566464153209736
467,33.557142846885036
468,33.54782154056036
469,33.538500234235656
470,33.529178927910976
471,33.51985762158628
472,33.510536315261604
473,33.50121500893691
474,33.49189370261222
475,33.48257239628753
476,33.47325108996284
477,33.46392978363815
478,33.454608477313464
479,33.44528717098877
480,33.435965864664084
481,33.42664455833939
482,33.417323252014704
483,33.40800194569001
484,33.398680639365324
485,33.38935933304063
486,33.380038026715944
487,33.370716720391265
488,33.361395414066564
489,33.35207410774187
490,33.342752801417184
491,33.333431495092505
492,33.324110188767804
493,33.314788882443125
494,33.305467576118424
495,33.29614626979374
496,33.286824963469044
497,33.27750365714436
498,33.26818235081967
499,33.258861044494985
500,33.24953973817029
501,33.240218431845605
502,33.23089712552091
503,33.22157581919622
504,33.21225451287153
505,33.202933206546845
506,33.19361190022215
507,33.184290593897465
508,33.17496928757277
509,33.165647981248085
510,33.15632667492339
511,33.147005368598705
512,33.13768406227401
513,33.128362755949325
514,33.11904144962463
515,33.109720143299946
516,33.10039883697526
517,33.091077530650566
518,33.08175622432588
519,33.072434918001186
520,33.0631136116765
521,33.05379230535181
522,33.044470999027126
523,33.03514969270243
524,33.02582838637774
525,33.01650708005305
526,33.00718577372836
527,32.99786446740367
528,32.98854316107898
529,32.97922185475429
530,32.96990054842961
531,32.96057924210491
532,32.95125793578022
533,32.94193662945553
534,32.932615323130854
535,32.923294016806146
536,32.91397271048147
537,32.90465140415677
538,32.89533009783209
539,32.88600879150739
540,32.87668748518271
541,32.86736617885802
542,32.85804487253333
543,32.84872356620864
544,32.83940225988395
545,32.83008095355926
546,32.82075964723457
547,32.81143834090987
548,32.802117034585194
549,32.7927957282605
550,32.78347442193581
551,32.77415311561112
552,32.764831809286434
553,32.75551050296174
554,32.74618919663705
555,32.73686789031236
556,32.727546583987674
557,32.71822527766298
558,32.708903971338295
559,32.69958266501361
560,32.690261358688915
561,32.68094005236423
562,32.671618746039535
563,32.66229743971485
564,32.652976133390155
565,32.64365482706547
566,32.63433352074078
567,32.62501221441609
568,32.615690908091395
569,32.60636960176671
570,32.59704829544202
571,32.58772698911733
572,32.57840568279264
573,32.56908437646795
574,32.55976307014326
575,32.55044176381857
576,32.541120457493875
577,32.5317991511692
578,32.522477844844495
579,32.513156538519816
580,32.50383523219512
581,32.49451392587044
582,32.485192619545735
583,32.475871313221056
584,32.46655000689637
585,32.45722870057168
586,32.44790739424699
587,32.438586087922296
588,32.42926478159761
589,32.41994347527292
590,32.41062216894823
591,32.401300862623536
592,32.39197955629885
593,32.38265824997416
594,32.37333694364947
595,32.36401563732478
596,32.35469433100009
597,32.345373024675396
598,32.33605171835071
599,32.326730412026016
600,32.31740910570133
601,32.30808779937664
602,32.298766493051964
603,32.289445186727264
604,32.28012388040258
605,32.27080257407789
