,Regression
0,14.9347168122453
1,14.942702673041065
2,14.950688533836827
3,14.958674394632595
4,14.96666025542836
5,14.974646116224122
6,14.982631977019887
7,14.990617837815652
8,14.998603698611415
9,15.00658955940718
10,15.014575420202945
11,15.022561280998712
12,15.030547141794472
13,15.038533002590238
14,15.046518863386007
15,15.054504724181767
16,15.062490584977533
17,15.070476445773293
18,15.078462306569064
19,15.086448167364823
20,15.094434028160588
21,15.102419888956357
22,15.110405749752116
23,15.118391610547885
24,15.126377471343648
25,15.134363332139412
26,15.142349192935177
27,15.150335053730943
28,15.158320914526708
29,15.16630677532247
30,15.174292636118233
31,15.182278496914
32,15.190264357709765
33,15.198250218505528
34,15.206236079301293
35,15.214221940097055
36,15.22220780089282
37,15.230193661688585
38,15.238179522484353
39,15.246165383280115
40,15.25415124407588
41,15.262137104871645
42,15.270122965667408
43,15.278108826463173
44,15.286094687258938
45,15.2940805480547
46,15.302066408850465
47,15.310052269646231
48,15.318038130441995
49,15.32602399123776
50,15.334009852033525
51,15.34199571282929
52,15.349981573625051
53,15.35796743442082
54,15.365953295216586
55,15.373939156012346
56,15.381925016808115
57,15.389910877603874
58,15.397896738399641
59,15.405882599195404
60,15.41386845999117
61,15.421854320786936
62,15.429840181582696
63,15.437826042378465
64,15.445811903174226
65,15.453797763969991
66,15.461783624765756
67,15.46976948556152
68,15.477755346357286
69,15.485741207153051
70,15.493727067948813
71,15.501712928744581
72,15.509698789540346
73,15.517684650336108
74,15.525670511131873
75,15.533656371927636
76,15.541642232723401
77,15.549628093519162
78,15.557613954314931
79,15.565599815110696
80,15.573585675906461
81,15.581571536702226
82,15.589557397497988
83,15.597543258293753
84,15.605529119089518
85,15.61351497988528
86,15.621500840681046
87,15.62948670147681
88,15.637472562272574
89,15.64545842306834
90,15.653444283864104
91,15.66143014465987
92,15.669416005455632
93,15.677401866251394
94,15.685387727047162
95,15.693373587842924
96,15.701359448638689
97,15.709345309434454
98,15.717331170230223
99,15.725317031025984
100,15.733302891821749
101,15.741288752617516
102,15.749274613413274
103,15.757260474209044
104,15.765246335004807
105,15.77323219580057
106,15.781218056596336
107,15.789203917392099
108,15.797189778187866
109,15.805175638983627
110,15.813161499779394
111,15.821147360575154
112,15.82913322137092
113,15.837119082166689
114,15.845104942962454
115,15.853090803758215
116,15.86107666455398
117,15.869062525349744
118,15.877048386145509
119,15.885034246941276
120,15.893020107737039
121,15.901005968532806
122,15.908991829328569
123,15.916977690124332
124,15.924963550920095
125,15.93294941171586
126,15.940935272511625
127,15.94892113330739
128,15.956906994103155
129,15.96489285489892
130,15.972878715694685
131,15.980864576490447
132,15.988850437286212
133,15.996836298081975
134,16.00482215887774
135,16.012808019673507
136,16.02079388046927
137,16.028779741265033
138,16.0367656020608
139,16.044751462856564
140,16.052737323652327
141,16.060723184448097
142,16.068709045243853
143,16.07669490603962
144,16.084680766835387
145,16.09266662763115
146,16.100652488426913
147,16.10863834922268
148,16.116624210018447
149,16.124610070814207
150,16.13259593160997
151,16.140581792405733
152,16.148567653201507
153,16.15655351399727
154,16.16453937479303
155,16.172525235588793
156,16.18051109638456
157,16.188496957180323
158,16.19648281797609
159,16.20446867877185
160,16.212454539567617
161,16.220440400363387
162,16.228426261159147
163,16.23641212195491
164,16.244397982750677
165,16.25238384354644
166,16.260369704342207
167,16.26835556513797
168,16.276341425933733
169,16.2843272867295
170,16.292313147525267
