,Regression
0,-69.22216099270199
1,-69.038678940398
2,-68.85519688809397
3,-68.67171483578997
4,-68.48823278348596
5,-68.30475073118195
6,-68.12126867887794
7,-67.93778662657394
8,-67.75430457426992
9,-67.57082252196592
10,-67.38734046966191
11,-67.2038584173579
12,-67.02037636505389
13,-66.83689431274989
14,-66.65341226044589
15,-66.46993020814188
16,-66.28644815583787
17,-66.10296610353386
18,-65.91948405122986
19,-65.73600199892584
20,-65.55251994662184
21,-65.36903789431783
22,-65.18555584201383
23,-65.00207378970981
24,-64.81859173740581
25,-64.6351096851018
26,-64.4516276327978
27,-64.26814558049378
28,-64.08466352818978
29,-63.90118147588577
30,-63.71769942358176
31,-63.53421737127776
32,-63.350735318973754
33,-63.16725326666975
34,-62.98377121436573
35,-62.80028916206173
36,-62.61680710975772
37,-62.433325057453715
38,-62.24984300514971
39,-62.066360952845706
40,-61.882878900541684
41,-61.699396848237676
42,-61.515914795933675
43,-61.332432743629674
44,-61.14895069132565
45,-60.965468639021644
46,-60.78198658671764
47,-60.59850453441364
48,-60.415022482109634
49,-60.231540429805634
50,-60.04805837750162
51,-59.86457632519761
52,-59.6810942728936
53,-59.4976122205896
54,-59.31413016828559
55,-59.13064811598158
56,-58.94716606367757
57,-58.763684011373556
58,-58.58020195906957
59,-58.39671990676555
60,-58.21323785446154
61,-58.02975580215754
62,-57.84627374985352
63,-57.66279169754952
64,-57.47930964524552
65,-57.29582759294151
66,-57.112345540637506
67,-56.92886348833349
68,-56.745381436029476
69,-56.56189938372548
70,-56.378417331421474
71,-56.19493527911746
72,-56.01145322681345
73,-55.827971174509436
74,-55.644489122205435
75,-55.46100706990143
76,-55.277525017597426
77,-55.094042965293426
78,-54.9105609129894
79,-54.727078860685396
80,-54.543596808381395
81,-54.360114756077394
82,-54.176632703773386
83,-53.993150651469364
84,-53.80966859916536
85,-53.62618654686136
86,-53.442704494557354
87,-53.25922244225335
88,-53.07574038994933
89,-52.89225833764533
90,-52.70877628534132
91,-52.52529423303731
92,-52.34181218073331
93,-52.1583301284293
94,-51.97484807612529
95,-51.791366023821276
96,-51.607883971517275
97,-51.424401919213274
98,-51.24091986690927
99,-51.057437814605244
100,-50.87395576230126
101,-50.69047370999724
102,-50.50699165769323
103,-50.323509605389226
104,-50.140027553085226
105,-49.95654550078121
106,-49.7730634484772
107,-49.5895813961732
108,-49.40609934386919
109,-49.22261729156518
110,-49.03913523926117
111,-48.855653186957156
112,-48.672171134653155
113,-48.48868908234915
114,-48.30520703004514
115,-48.12172497774114
116,-47.938242925437116
117,-47.754760873133115
118,-47.571278820829114
119,-47.387796768525114
120,-47.204314716221106
121,-47.02083266391709
122,-46.83735061161308
123,-46.65386855930908
124,-46.470386507005074
125,-46.28690445470106
126,-46.10342240239706
127,-45.91994035009304
128,-45.73645829778904
129,-45.55297624548503
130,-45.369494193181026
131,-45.18601214087701
132,-45.00253008857301
133,-44.819048036268995
134,-44.635565983964995
135,-44.452083931660994
136,-44.26860187935698
137,-44.085119827052964
138,-43.90163777474896
139,-43.71815572244496
140,-43.534673670140954
141,-43.35119161783695
142,-43.16770956553293
143,-42.98422751322893
144,-42.80074546092492
145,-42.61726340862091
146,-42.433781356316906
147,-42.2502993040129
148,-42.06681725170889
149,-41.88333519940488
150,-41.69985314710088
151,-41.51637109479687
152,-41.332889042492866
153,-41.14940699018885
154,-40.96592493788485
155,-40.78244288558084
156,-40.59896083327683
157,-40.41547878097282
158,-40.23199672866882
159,-40.04851467636481
160,-39.865032624060795
161,-39.681550571756794
162,-39.498068519452794
163,-39.31458646714878
164,-39.13110441484478
165,-38.94762236254076
166,-38.76414031023676
167,-38.58065825793275
168,-38.397176205628746
169,-38.213694153324745
170,-38.030212101020716
171,-37.846730048716715
172,-37.66324799641272
173,-37.47976594410871
174,-37.296283891804705
175,-37.11280183950069
176,-36.92931978719668
177,-36.74583773489268
178,-36.562355682588674
179,-36.37887363028466
180,-36.195391577980644
181,-36.01190952567664
182,-35.82842747337264
183,-35.644945421068634
184,-35.461463368764626
185,-35.27798131646062
186,-35.09449926415661
187,-34.9110172118526
188,-34.727535159548594
189,-34.544053107244586
190,-34.36057105494058
191,-34.17708900263657
192,-33.99360695033256
193,-33.810124898028555
194,-33.62664284572455
195,-33.44316079342054
196,-33.25967874111654
197,-33.07619668881253
198,-32.892714636508515
199,-32.709232584204514
200,-32.525750531900506
201,-32.3422684795965
202,-32.15878642729249
203,-31.97530437498848
204,-31.791822322684478
205,-31.60834027038047
206,-31.424858218076462
207,-31.241376165772447
208,-31.057894113468446
209,-30.874412061164442
210,-30.690930008860434
211,-30.507447956556426
212,-30.323965904252415
213,-30.14048385194841
214,-29.9570017996444
215,-29.773519747340394
216,-29.590037695036386
217,-29.40655564273238
218,-29.22307359042837
219,-29.039591538124363
220,-28.856109485820355
221,-28.67262743351635
222,-28.48914538121234
223,-28.305663328908334
224,-28.122181276604326
225,-27.938699224300322
226,-27.755217171996318
227,-27.571735119692306
228,-27.388253067388302
229,-27.20477101508429
230,-27.02128896278028
231,-26.837806910476274
232,-26.654324858172263
233,-26.470842805868262
234,-26.287360753564247
235,-26.103878701260246
236,-25.92039664895624
237,-25.736914596652237
238,-25.553432544348226
239,-25.369950492044214
240,-25.18646843974021
241,-25.0029863874362
242,-24.819504335132194
243,-24.636022282828183
244,-24.45254023052418
245,-24.26905817822017
246,-24.085576125916162
247,-23.902094073612155
248,-23.71861202130815
249,-23.53512996900414
250,-23.351647916700138
251,-23.16816586439613
252,-22.984683812092122
253,-22.801201759788114
254,-22.617719707484106
255,-22.43423765518009
256,-22.25075560287609
257,-22.067273550572075
258,-21.883791498268074
259,-21.700309445964063
260,-21.51682739366006
261,-21.33334534135605
262,-21.149863289052046
263,-20.966381236748038
264,-20.782899184444034
265,-20.599417132140022
266,-20.415935079836014
267,-20.232453027532014
268,-20.048970975228
269,-19.865488922923998
270,-19.682006870619983
271,-19.498524818315982
272,-19.315042766011967
