,Regression
0,10.079730914698947
1,10.118354082977108
2,10.156977251255269
3,10.195600419533427
4,10.234223587811586
5,10.272846756089749
6,10.311469924367906
7,10.350093092646064
8,10.388716260924225
9,10.427339429202382
10,10.465962597480543
11,10.504585765758703
12,10.543208934036862
13,10.581832102315019
14,10.62045527059318
15,10.65907843887134
16,10.697701607149499
17,10.736324775427658
18,10.774947943705818
19,10.813571111983977
20,10.852194280262136
21,10.890817448540297
22,10.929440616818457
23,10.968063785096614
24,11.006686953374775
25,11.045310121652934
26,11.083933289931093
27,11.122556458209253
28,11.161179626487412
29,11.19980279476557
30,11.238425963043733
31,11.27704913132189
32,11.315672299600049
33,11.354295467878211
34,11.392918636156368
35,11.431541804434529
36,11.470164972712688
37,11.508788140990848
38,11.547411309269005
39,11.586034477547164
40,11.624657645825325
41,11.663280814103484
42,11.701903982381644
43,11.740527150659805
44,11.779150318937962
45,11.81777348721612
46,11.85639665549428
47,11.89501982377244
48,11.9336429920506
49,11.97226616032876
50,12.010889328606918
51,12.049512496885074
52,12.088135665163238
53,12.126758833441393
54,12.165382001719555
55,12.204005169997716
56,12.242628338275876
57,12.281251506554035
58,12.319874674832194
59,12.358497843110351
60,12.397121011388512
61,12.435744179666669
62,12.474367347944831
63,12.51299051622299
64,12.551613684501147
65,12.59023685277931
66,12.628860021057468
67,12.667483189335627
68,12.706106357613788
69,12.744729525891945
70,12.783352694170105
71,12.821975862448266
72,12.860599030726426
73,12.899222199004585
74,12.937845367282744
75,12.976468535560903
76,13.015091703839063
77,13.053714872117224
78,13.092338040395381
79,13.13096120867354
80,13.169584376951699
81,13.20820754522986
82,13.246830713508016
83,13.285453881786179
84,13.324077050064338
85,13.362700218342495
86,13.401323386620655
87,13.439946554898816
88,13.478569723176975
89,13.517192891455135
90,13.555816059733296
91,13.594439228011453
92,13.633062396289613
93,13.671685564567774
94,13.710308732845931
95,13.748931901124092
96,13.787555069402249
97,13.826178237680411
98,13.864801405958572
99,13.903424574236727
100,13.942047742514887
101,13.980670910793044
102,14.019294079071207
103,14.057917247349364
104,14.096540415627524
105,14.135163583905685
106,14.173786752183846
107,14.212409920462004
108,14.251033088740163
109,14.289656257018322
110,14.328279425296481
111,14.366902593574642
112,14.4055257618528
113,14.444148930130961
114,14.482772098409116
115,14.521395266687279
116,14.560018434965436
117,14.598641603243596
118,14.637264771521757
119,14.675887939799914
120,14.714511108078074
121,14.753134276356235
122,14.791757444634394
123,14.830380612912553
124,14.869003781190713
125,14.907626949468872
126,14.94625011774703
127,14.984873286025193
128,15.02349645430335
129,15.062119622581507
130,15.100742790859671
131,15.139365959137828
132,15.177989127415989
133,15.216612295694148
134,15.255235463972307
135,15.293858632250464
136,15.332481800528624
137,15.371104968806785
138,15.409728137084944
139,15.448351305363104
140,15.486974473641265
141,15.525597641919422
142,15.564220810197588
143,15.60284397847574
144,15.6414671467539
145,15.68009031503206
146,15.71871348331022
147,15.757336651588378
148,15.795959819866537
149,15.834582988144696
150,15.873206156422857
151,15.911829324701015
152,15.950452492979176
153,15.989075661257337
154,16.027698829535495
155,16.066321997813652
156,16.104945166091813
157,16.143568334369974
158,16.18219150264813
159,16.22081467092629
160,16.259437839204452
161,16.29806100748261
162,16.33668417576077
163,16.37530734403893
164,16.413930512317087
165,16.452553680595248
166,16.491176848873412
167,16.529800017151565
168,16.568423185429726
169,16.607046353707887
170,16.645669521986047
171,16.684292690264208
172,16.722915858542365
173,16.761539026820518
174,16.800162195098682
175,16.838785363376847
176,16.877408531655
177,16.91603169993316
178,16.95465486821132
179,16.993278036489478
180,17.03190120476764
181,17.0705243730458
182,17.109147541323956
183,17.147770709602113
184,17.186393877880278
185,17.225017046158435
186,17.263640214436595
187,17.302263382714756
188,17.340886550992913
189,17.379509719271073
190,17.418132887549234
191,17.45675605582739
192,17.49537922410555
193,17.534002392383712
194,17.57262556066187
195,17.61124872894003
196,17.64987189721819
197,17.688495065496348
198,17.727118233774508
199,17.765741402052665
200,17.804364570330826
201,17.842987738608986
202,17.881610906887143
203,17.920234075165304
204,17.958857243443465
205,17.99748041172162
206,18.036103579999786
207,18.074726748277946
208,18.113349916556107
209,18.15197308483426
210,18.190596253112414
211,18.229219421390578
212,18.26784258966874
213,18.306465757946896
214,18.34508892622506
215,18.383712094503213
216,18.42233526278137
217,18.460958431059534
218,18.49958159933769
219,18.53820476761585
220,18.576827935894013
221,18.615451104172173
222,18.654074272450327
223,18.692697440728487
224,18.731320609006648
225,18.76994377728481
226,18.80856694556297
227,18.84719011384113
228,18.885813282119287
229,18.924436450397447
230,18.963059618675608
231,19.001682786953765
232,19.040305955231926
233,19.078929123510086
