,Regression
0,-24.851694031728872
1,-24.743315199749265
2,-24.63493636776966
3,-24.52655753579005
4,-24.418178703810447
5,-24.30979987183085
6,-24.20142103985125
7,-24.093042207871648
8,-23.984663375892037
9,-23.87628454391244
10,-23.767905711932837
11,-23.659526879953233
12,-23.551148047973623
13,-23.442769215994023
14,-23.33439038401442
15,-23.226011552034816
16,-23.117632720055212
17,-23.00925388807561
18,-22.900875056096005
19,-22.792496224116398
20,-22.684117392136802
21,-22.575738560157195
22,-22.46735972817759
23,-22.358980896197988
24,-22.250602064218388
25,-22.14222323223878
26,-22.033844400259174
27,-21.925465568279577
28,-21.817086736299967
29,-21.70870790432037
30,-21.600329072340767
31,-21.49195024036116
32,-21.383571408381556
33,-21.275192576401952
34,-21.166813744422353
35,-21.058434912442745
36,-20.950056080463145
37,-20.84167724848354
38,-20.73329841650393
39,-20.624919584524328
40,-20.516540752544728
41,-20.408161920565124
42,-20.29978308858552
43,-20.19140425660592
44,-20.083025424626317
45,-19.97464659264671
46,-19.86626776066711
47,-19.757888928687503
48,-19.6495100967079
49,-19.541131264728293
50,-19.432752432748693
51,-19.324373600769086
52,-19.21599476878949
53,-19.10761593680988
54,-18.999237104830282
55,-18.89085827285067
56,-18.782479440871068
57,-18.674100608891465
58,-18.565721776911865
59,-18.457342944932254
60,-18.348964112952658
61,-18.24058528097305
62,-18.13220644899345
63,-18.023827617013843
64,-17.915448785034247
65,-17.807069953054636
66,-17.698691121075033
67,-17.59031228909543
68,-17.48193345711583
69,-17.373554625136222
70,-17.265175793156622
71,-17.156796961177015
72,-17.048418129197415
73,-16.940039297217808
74,-16.831660465238212
75,-16.7232816332586
76,-16.614902801278998
77,-16.506523969299394
78,-16.398145137319798
79,-16.289766305340187
80,-16.181387473360587
81,-16.07300864138098
82,-15.964629809401377
83,-15.856250977421775
84,-15.747872145442171
85,-15.639493313462568
86,-15.531114481482966
87,-15.422735649503359
88,-15.314356817523755
89,-15.205977985544155
90,-15.09759915356455
91,-14.989220321584947
92,-14.880841489605345
93,-14.77246265762574
94,-14.664083825646136
95,-14.555704993666533
96,-14.447326161686929
97,-14.338947329707324
98,-14.23056849772772
99,-14.122189665748115
100,-14.013810833768511
101,-13.90543200178891
102,-13.797053169809306
103,-13.688674337829704
104,-13.580295505850101
105,-13.471916673870494
106,-13.363537841890892
107,-13.255159009911287
108,-13.146780177931685
109,-13.038401345952082
110,-12.930022513972476
111,-12.821643681992875
112,-12.713264850013273
113,-12.60488601803367
114,-12.496507186054066
115,-12.388128354074462
116,-12.279749522094855
117,-12.171370690115252
118,-12.06299185813565
119,-11.954613026156045
120,-11.846234194176445
121,-11.73785536219684
122,-11.629476530217236
123,-11.521097698237634
124,-11.412718866258027
125,-11.304340034278427
126,-11.195961202298822
127,-11.087582370319216
128,-10.979203538339616
129,-10.870824706360011
130,-10.762445874380408
131,-10.654067042400804
132,-10.5456882104212
133,-10.437309378441595
134,-10.328930546461995
135,-10.22055171448239
136,-10.112172882502787
137,-10.003794050523183
138,-9.89541521854358
139,-9.787036386563978
140,-9.678657554584372
141,-9.570278722604767
142,-9.461899890625164
143,-9.353521058645562
144,-9.245142226665957
145,-9.136763394686355
146,-9.028384562706751
147,-8.920005730727148
148,-8.811626898747543
149,-8.70324806676794
150,-8.594869234788337
151,-8.486490402808734
152,-8.37811157082913
153,-8.269732738849529
154,-8.161353906869923
155,-8.05297507489032
156,-7.944596242910715
157,-7.836217410931113
158,-7.727838578951509
159,-7.6194597469719065
160,-7.511080914992303
161,-7.402702083012699
162,-7.294323251033095
163,-7.1859444190534925
164,-7.077565587073887
165,-6.9691867550942845
166,-6.860807923114681
167,-6.7524290911350775
168,-6.644050259155474
169,-6.535671427175871
170,-6.427292595196267
171,-6.3189137632166625
172,-6.21053493123706
173,-6.102156099257456
174,-5.993777267277852
175,-5.8853984352982485
176,-5.777019603318646
177,-5.668640771339043
178,-5.560261939359439
179,-5.451883107379834
180,-5.343504275400232
181,-5.235125443420627
182,-5.126746611441025
183,-5.018367779461421
184,-4.909988947481819
185,-4.801610115502214
186,-4.6932312835226115
187,-4.584852451543007
188,-4.476473619563403
189,-4.3680947875838
190,-4.259715955604197
191,-4.151337123624593
192,-4.042958291644986
193,-3.9345794596653834
194,-3.826200627685779
195,-3.717821795706176
196,-3.609442963726572
197,-3.5010641317469684
198,-3.3926852997673653
199,-3.2843064677877614
200,-3.175927635808158
201,-3.0675488038285543
202,-2.959169971848951
203,-2.8507911398693477
204,-2.742412307889744
205,-2.6340334759101403
206,-2.5256546439305367
207,-2.417275811950933
208,-2.3088969799713297
209,-2.200518147991726
210,-2.0921393160121227
211,-1.9837604840325191
212,-1.875381652052916
213,-1.7670028200733117
214,-1.6586239880937086
215,-1.550245156114105
216,-1.4418663241345016
217,-1.3334874921548978
218,-1.2251086601752943
219,-1.116729828195691
220,-1.0083509962160877
221,-0.8999721642364841
222,-0.7915933322568804
223,-0.6832145002772769
224,-0.5748356682976734
225,-0.4664568363180699
226,-0.3580780043384664
227,-0.24969917235886285
228,-0.14132034037925933
229,-0.03294150839965582
230,0.0754373235799477
231,0.1838161555595512
232,0.29219498753915474
233,0.4005738195187583
234,0.5089526514983618
235,0.6173314834779653
236,0.7257103154575688
237,0.8340891474371723
238,0.9424679794167758
239,1.0508468113963794
240,1.1592256433759829
241,1.2676044753555864
242,1.37598330733519
243,1.4843621393147934
244,1.5927409712943972
245,1.7011198032740005
246,1.809498635253604
247,1.9178774672332075
248,2.026256299212811
249,2.1346351311924145
250,2.243013963172018
251,2.3513927951516216
252,2.459771627131225
253,2.5681504591108286
254,2.6765292910904317
255,2.784908123070036
256,2.8932869550496387
257,3.0016657870292427
258,3.110044619008846
259,3.2184234509884497
260,3.326802282968053
261,3.4351811149476568
262,3.5435599469272603
263,3.651938778906864
264,3.7603176108864673
265,3.8686964428660713
266,3.9770752748456735
267,4.085454106825279
268,4.193832938804881
269,4.302211770784485
270,4.4105906027640875
271,4.518969434743692
272,4.627348266723296
273,4.735727098702899
274,4.844105930682503
275,4.952484762662106
276,5.0608635946417095
277,5.169242426621314
278,5.277621258600917
279,5.386000090580519
280,5.4943789225601245
281,5.602757754539727
282,5.711136586519331
283,5.819515418498933
284,5.927894250478537
285,6.036273082458142
286,6.144651914437745
287,6.253030746417347
288,6.361409578396952
289,6.469788410376554
290,6.57816724235616
291,6.686546074335762
292,6.794924906315366
293,6.9033037382949685
294,7.011682570274572
295,7.120061402254176
296,7.22844023423378
297,7.336819066213387
298,7.445197898192988
299,7.553576730172594
300,7.661955562152194
301,7.770334394131801
302,7.878713226111401
303,7.987092058091007
304,8.095470890070608
305,8.203849722050215
306,8.312228554029815
307,8.420607386009422
308,8.528986217989022
309,8.63736504996863
310,8.745743881948231
311,8.854122713927836
312,8.962501545907436
313,9.070880377887043
314,9.179259209866645
315,9.28763804184625
316,9.396016873825848
317,9.504395705805457
318,9.612774537785057
319,9.721153369764664
320,9.829532201744263
321,9.937911033723873
322,10.046289865703473
323,10.154668697683078
324,10.263047529662678
325,10.371426361642284
326,10.479805193621884
327,10.588184025601493
328,10.696562857581092
329,10.8049416895607
330,10.913320521540301
331,11.02169935351991
332,11.130078185499508
333,11.238457017479112
334,11.346835849458715
335,11.455214681438319
336,11.56359351341792
337,11.671972345397528
338,11.780351177377126
339,11.888730009356735
340,11.997108841336336
341,12.105487673315942
342,12.213866505295544
343,12.322245337275147
344,12.430624169254749
345,12.539003001234356
346,12.647381833213954
347,12.755760665193565
348,12.864139497173165
349,12.97251832915277
350,13.08089716113237
351,13.189275993111975
352,13.297654825091573
353,13.406033657071186
354,13.514412489050784
355,13.622791321030393
