,Regression
0,130.244599725386
1,130.25354831668795
2,130.26249690798988
3,130.27144549929184
4,130.2803940905938
5,130.28934268189576
6,130.29829127319772
7,130.30723986449965
8,130.3161884558016
9,130.32513704710357
10,130.3340856384055
11,130.34303422970746
12,130.35198282100941
13,130.36093141231134
14,130.3698800036133
15,130.37882859491526
16,130.38777718621722
17,130.39672577751915
18,130.40567436882108
19,130.41462296012307
20,130.42357155142503
21,130.43252014272696
22,130.44146873402894
23,130.45041732533087
24,130.4593659166328
25,130.46831450793476
26,130.47726309923672
27,130.48621169053868
28,130.49516028184058
29,130.50410887314257
30,130.51305746444453
31,130.5220060557465
32,130.53095464704842
33,130.53990323835038
34,130.54885182965234
35,130.5578004209543
36,130.56674901225622
37,130.57569760355818
38,130.58464619486014
39,130.59359478616207
40,130.60254337746406
41,130.611491968766
42,130.62044056006795
43,130.62938915136988
44,130.63833774267187
45,130.6472863339738
46,130.65623492527573
47,130.66518351657768
48,130.67413210787964
49,130.6830806991816
50,130.6920292904835
51,130.70097788178552
52,130.70992647308745
53,130.7188750643894
54,130.72782365569134
55,130.7367722469933
56,130.74572083829526
57,130.75466942959721
58,130.76361802089914
59,130.7725666122011
60,130.78151520350306
61,130.790463794805
62,130.79941238610695
63,130.8083609774089
64,130.81730956871087
65,130.8262581600128
66,130.8352067513148
67,130.84415534261672
68,130.85310393391865
69,130.86205252522058
70,130.87100111652256
71,130.87994970782452
72,130.88889829912642
73,130.8978468904284
74,130.90679548173037
75,130.91574407303233
76,130.92469266433426
77,130.93364125563622
78,130.94258984693818
79,130.95153843824014
80,130.9604870295421
81,130.96943562084402
82,130.97838421214598
83,130.9873328034479
84,130.99628139474987
85,131.00522998605186
86,131.0141785773538
87,131.02312716865572
88,131.0320757599577
89,131.04102435125964
90,131.0499729425616
91,131.0589215338635
92,131.06787012516548
93,131.07681871646744
94,131.08576730776934
95,131.0947158990713
96,131.10366449037332
97,131.11261308167525
98,131.12156167297718
99,131.13051026427914
100,131.1394588555811
101,131.14840744688306
102,131.15735603818501
103,131.16630462948694
104,131.1752532207889
105,131.18420181209083
106,131.1931504033928
107,131.20209899469478
108,131.2110475859967
109,131.21999617729864
110,131.2289447686006
111,131.23789335990256
112,131.24684195120452
113,131.25579054250645
114,131.2647391338084
115,131.27368772511036
116,131.2826363164123
117,131.29158490771422
118,131.3005334990162
119,131.30948209031817
120,131.3184306816201
121,131.32737927292206
122,131.33632786422402
123,131.34527645552598
124,131.3542250468279
125,131.3631736381299
126,131.37212222943182
127,131.38107082073375
128,131.39001941203568
129,131.3989680033377
130,131.40791659463966
131,131.41686518594156
132,131.42581377724352
133,131.43476236854548
134,131.44371095984744
135,131.45265955114937
136,131.4616081424513
137,131.47055673375328
138,131.4795053250552
139,131.48845391635714
140,131.49740250765913
141,131.5063510989611
142,131.51529969026302
143,131.52424828156498
144,131.53319687286694
145,131.54214546416893
146,131.55109405547086
147,131.5600426467728
148,131.56899123807474
