,Regression
0,90.78708461059169
1,90.85595551438259
2,90.92482641817352
3,90.99369732196443
4,91.06256822575531
5,91.13143912954624
6,91.20031003333716
7,91.26918093712807
8,91.33805184091896
9,91.40692274470987
10,91.47579364850078
11,91.54466455229168
12,91.61353545608259
13,91.68240635987351
14,91.75127726366439
15,91.82014816745532
16,91.88901907124622
17,91.95788997503712
18,92.02676087882804
19,92.09563178261894
20,92.16450268640983
21,92.23337359020077
22,92.30224449399168
23,92.37111539778256
24,92.43998630157348
25,92.50885720536438
26,92.57772810915527
27,92.64659901294621
28,92.71546991673709
29,92.78434082052802
30,92.85321172431892
31,92.92208262810983
32,92.99095353190071
33,93.05982443569164
34,93.12869533948256
35,93.19756624327344
36,93.26643714706437
37,93.33530805085528
38,93.40417895464614
39,93.47304985843708
40,93.54192076222799
41,93.61079166601891
42,93.67966256980979
43,93.74853347360072
44,93.81740437739164
45,93.88627528118252
46,93.95514618497343
47,94.02401708876434
48,94.09288799255523
49,94.16175889634614
50,94.23062980013708
51,94.29950070392799
52,94.36837160771887
53,94.43724251150978
54,94.50611341530069
55,94.57498431909158
56,94.64385522288252
57,94.71272612667343
58,94.78159703046431
59,94.85046793425522
60,94.91933883804613
61,94.98820974183704
62,95.05708064562796
63,95.12595154941884
64,95.19482245320977
65,95.26369335700069
66,95.33256426079157
67,95.40143516458248
68,95.47030606837342
69,95.53917697216428
70,95.6080478759552
71,95.67691877974613
72,95.74578968353704
73,95.81466058732792
74,95.88353149111884
75,95.95240239490973
76,96.02127329870063
77,96.09014420249157
78,96.15901510628248
79,96.22788601007338
80,96.29675691386429
81,96.36562781765518
82,96.43449872144608
83,96.50336962523701
84,96.57224052902792
85,96.64111143281882
86,96.70998233660973
87,96.77885324040062
88,96.84772414419152
89,96.91659504798244
90,96.98546595177336
91,97.05433685556427
92,97.12320775935517
93,97.19207866314608
94,97.26094956693694
95,97.32982047072788
96,97.39869137451879
97,97.46756227830971
98,97.5364331821006
99,97.60530408589152
100,97.67417498968244
101,97.74304589347332
102,97.81191679726423
103,97.88078770105514
104,97.94965860484604
105,98.01852950863695
106,98.08740041242788
107,98.15627131621878
108,98.22514222000969
109,98.29401312380058
110,98.36288402759148
111,98.43175493138241
112,98.50062583517332
113,98.56949673896422
114,98.63836764275513
115,98.70723854654602
116,98.77610945033692
117,98.84498035412784
118,98.91385125791876
119,98.98272216170965
120,99.05159306550057
121,99.12046396929148
122,99.18933487308234
123,99.25820577687328
124,99.32707668066419
125,99.39594758445509
126,99.464818488246
127,99.53368939203692
128,99.60256029582784
129,99.67143119961872
130,99.74030210340963
131,99.80917300720054
132,99.87804391099144
133,99.94691481478235
134,100.01578571857328
135,100.0846566223642
136,100.15352752615507
137,100.22239842994598
138,100.29126933373688
139,100.36014023752779
140,100.42901114131872
141,100.49788204510963
142,100.56675294890051
143,100.63562385269142
144,100.70449475648232
145,100.77336566027323
146,100.84223656406417
147,100.91110746785508
148,100.97997837164594
149,101.04884927543688
150,101.11772017922777
151,101.18659108301868
152,101.25546198680959
153,101.32433289060049
154,101.3932037943914
155,101.46207469818232
156,101.53094560197323
157,101.59981650576412
158,101.66868740955505
159,101.73755831334593
160,101.80642921713684
161,101.87530012092778
162,101.94417102471868
163,102.01304192850958
164,102.08191283230049
165,102.15078373609137
166,102.2196546398823
167,102.28852554367322
168,102.35739644746413
169,102.42626735125502
170,102.49513825504593
171,102.56400915883684
172,102.63288006262772
173,102.70175096641864
174,102.77062187020957
175,102.83949277400045
176,102.90836367779137
177,102.97723458158228
178,103.04610548537319
179,103.11497638916408
180,103.183847292955
181,103.25271819674592
182,103.3215891005368
183,103.39046000432772
184,103.45933090811863
185,103.52820181190953
186,103.59707271570043
187,103.66594361949134
188,103.73481452328224
189,103.80368542707315
190,103.87255633086407
191,103.94142723465497
192,104.01029813844588
193,104.0791690422368
194,104.1480399460277
195,104.21691084981859
196,104.28578175360953
197,104.3546526574004
198,104.42352356119132
199,104.49239446498224
200,104.56126536877314
201,104.63013627256404
202,104.69900717635497
203,104.76787808014585
204,104.83674898393677
205,104.90561988772768
206,104.97449079151858
207,105.04336169530949
208,105.1122325991004
209,105.18110350289129
210,105.2499744066822
211,105.31884531047312
212,105.38771621426402
213,105.45658711805493
214,105.52545802184584
215,105.59432892563673
216,105.66319982942764
217,105.73207073321855
218,105.80094163700944
219,105.86981254080037
220,105.93868344459128
221,106.0075543483822
222,106.0764252521731
223,106.14529615596399
224,106.21416705975493
225,106.2830379635458
226,106.35190886733672
227,106.42077977112764
228,106.48965067491855
229,106.55852157870943
230,106.62739248250037
231,106.69626338629128
232,106.76513429008214
233,106.83400519387308
234,106.90287609766399
235,106.97174700145487
236,107.0406179052458
237,107.10948880903672
238,107.17835971282759
239,107.24723061661852
240,107.31610152040942
241,107.3849724242003
242,107.45384332799124
243,107.52271423178215
244,107.59158513557307
245,107.66045603936395
246,107.72932694315485
247,107.79819784694577
248,107.86706875073669
249,107.93593965452759
250,108.0048105583185
251,108.07368146210942
252,108.1425523659003
253,108.2114232696912
254,108.28029417348213
255,108.34916507727304
256,108.41803598106394
257,108.48690688485485
258,108.55577778864577
259,108.62464869243665
260,108.69351959622757
261,108.76239050001848
262,108.83126140380938
263,108.90013230760029
264,108.9690032113912
265,109.03787411518209
266,109.106745018973
267,109.17561592276392
268,109.24448682655482
269,109.31335773034573
270,109.38222863413664
271,109.45109953792758
272,109.51997044171844
273,109.58884134550935
274,109.65771224930027
275,109.72658315309117
276,109.79545405688208
277,109.864324960673
278,109.9331958644639
279,110.00206676825479
280,110.07093767204573
281,110.1398085758366
282,110.20867947962752
283,110.27755038341844
284,110.34642128720934
285,110.41529219100023
286,110.48416309479117
287,110.55303399858208
288,110.62190490237295
289,110.69077580616388
290,110.75964670995478
291,110.82851761374569
292,110.8973885175366
293,110.96625942132749
294,111.03513032511843
295,111.10400122890933
296,111.17287213270022
297,111.24174303649113
298,111.31061394028204
299,111.37948484407295
300,111.44835574786387
301,111.51722665165475
302,111.58609755544565
303,111.65496845923657
304,111.72383936302748
305,111.7927102668184
306,111.8615811706093
307,111.9304520744002
308,111.99932297819113
309,112.068193881982
310,112.13706478577292
311,112.20593568956384
312,112.27480659335474
313,112.34367749714563
314,112.41254840093654
315,112.48141930472748
316,112.55029020851835
317,112.61916111230929
318,112.6880320161002
319,112.75690291989108
320,112.825773823682
321,112.89464472747292
322,112.9635156312638
323,113.03238653505473
324,113.10125743884564
325,113.1701283426365
326,113.23899924642744
327,113.30787015021835
328,113.37674105400923
329,113.44561195780015
330,113.51448286159105
331,113.58335376538194
332,113.65222466917288
333,113.72109557296379
334,113.7899664767547
335,113.8588373805456
336,113.9277082843365
337,113.9965791881274
338,114.06545009191832
339,114.13432099570923
340,114.20319189950014
341,114.27206280329105
342,114.34093370708193
343,114.40980461087288
344,114.47867551466378
345,114.54754641845469
346,114.61641732224558
347,114.68528822603649
348,114.7541591298274
349,114.8230300336183
350,114.8919009374092
351,114.96077184120013
352,115.02964274499102
353,115.09851364878193
354,115.16738455257284
355,115.23625545636378
356,115.30512636015465
357,115.37399726394555
358,115.44286816773645
359,115.51173907152737
360,115.58060997531828
361,115.6494808791092
362,115.71835178290009
363,115.787222686691
364,115.85609359048193
365,115.9249644942728
366,115.99383539806372
367,116.06270630185465
368,116.13157720564554
369,116.20044810943644
370,116.26931901322737
371,116.33818991701828
372,116.40706082080915
373,116.47593172460009
374,116.54480262839098
375,116.61367353218188
376,116.6825444359728
377,116.7514153397637
378,116.82028624355459
379,116.88915714734553
380,116.95802805113642
381,117.0268989549273
382,117.09576985871824
383,117.16464076250915
384,117.23351166630005
385,117.30238257009096
386,117.37125347388185
387,117.44012437767277
388,117.50899528146368
389,117.57786618525459
390,117.6467370890455
391,117.7156079928364
392,117.78447889662729
393,117.8533498004182
394,117.92222070420912
395,117.99109160800005
396,118.05996251179094
397,118.12883341558184
398,118.19770431937278
399,118.26657522316366
400,118.33544612695455
401,118.40431703074549
402,118.47318793453638
403,118.54205883832728
404,118.6109297421182
405,118.6798006459091
406,118.74867154969999
407,118.81754245349093
408,118.88641335728182
409,118.9552842610727
410,119.02415516486364
411,119.09302606865455
412,119.16189697244543
413,119.23076787623636
414,119.29963878002728
415,119.36850968381815
416,119.43738058760908
417,119.5062514914
418,119.5751223951909
419,119.6439932989818
420,119.71286420277269
421,119.78173510656363
422,119.85060601035453
423,119.91947691414543
424,119.98834781793634
425,120.05721872172724
426,120.12608962551815
427,120.19496052930906
428,120.26383143309995
429,120.33270233689088
430,120.40157324068178
431,120.4704441444727
432,120.53931504826359
433,120.6081859520545
434,120.67705685584541
435,120.7459277596363
436,120.81479866342724
437,120.88366956721813
438,120.95254047100904
439,121.02141137479995
440,121.09028227859085
441,121.15915318238176
442,121.2280240861727
443,121.29689498996358
444,121.36576589375449
445,121.43463679754541
446,121.50350770133629
447,121.5723786051272
448,121.64124950891814
449,121.710120412709
450,121.77899131649993
451,121.84786222029085
452,121.91673312408173
453,121.98560402787264
454,122.05447493166358
455,122.12334583545444
456,122.19221673924535
457,122.26108764303629
458,122.3299585468272
459,122.3988294506181
460,122.467700354409
461,122.5365712581999
462,122.6054421619908
463,122.67431306578173
464,122.74318396957264
465,122.81205487336355
466,122.88092577715445
467,122.94979668094535
468,123.01866758473624
469,123.08753848852716
470,123.15640939231808
