,Regression
0,9.978701734806016
1,10.026638732683994
2,10.074575730561973
3,10.122512728439947
4,10.170449726317925
5,10.218386724195902
6,10.26632372207388
7,10.314260719951855
8,10.362197717829831
9,10.41013471570781
10,10.458071713585786
11,10.506008711463764
12,10.553945709341741
13,10.60188270721972
14,10.649819705097695
15,10.697756702975674
16,10.74569370085365
17,10.793630698731628
18,10.841567696609605
19,10.889504694487584
20,10.937441692365557
21,10.985378690243538
22,11.033315688121514
23,11.081252685999491
24,11.129189683877465
25,11.177126681755443
26,11.225063679633422
27,11.273000677511401
28,11.320937675389375
29,11.368874673267353
30,11.416811671145329
31,11.464748669023306
32,11.512685666901286
33,11.56062266477926
34,11.608559662657239
35,11.656496660535215
36,11.704433658413196
37,11.75237065629117
38,11.80030765416915
39,11.848244652047123
40,11.896181649925106
41,11.94411864780308
42,11.992055645681054
43,12.039992643559033
44,12.087929641437011
45,12.135866639314989
46,12.183803637192964
47,12.231740635070944
48,12.279677632948921
49,12.327614630826895
50,12.375551628704873
51,12.423488626582849
52,12.471425624460828
53,12.519362622338805
54,12.567299620216785
55,12.615236618094759
56,12.663173615972733
57,12.711110613850716
58,12.759047611728695
59,12.806984609606669
60,12.854921607484643
61,12.902858605362622
62,12.9507956032406
63,12.998732601118574
64,13.046669598996553
65,13.09460659687453
66,13.142543594752507
67,13.190480592630484
68,13.238417590508464
69,13.286354588386441
70,13.334291586264415
71,13.382228584142394
72,13.430165582020374
73,13.478102579898348
74,13.526039577776325
75,13.573976575654305
76,13.621913573532279
77,13.669850571410256
78,13.717787569288234
79,13.765724567166213
80,13.813661565044189
81,13.861598562922163
82,13.909535560800142
83,13.95747255867812
84,14.005409556556096
85,14.053346554434075
86,14.101283552312049
87,14.149220550190027
88,14.197157548068006
89,14.245094545945983
90,14.29303154382396
91,14.340968541701937
92,14.388905539579914
93,14.436842537457894
94,14.484779535335868
95,14.532716533213847
96,14.580653531091823
97,14.6285905289698
98,14.676527526847778
99,14.724464524725757
100,14.772401522603733
101,14.820338520481709
102,14.868275518359685
103,14.916212516237664
104,14.964149514115642
105,15.012086511993616
106,15.060023509871595
107,15.107960507749569
108,15.155897505627546
109,15.203834503505526
110,15.251771501383503
111,15.29970849926148
112,15.347645497139453
113,15.395582495017436
114,15.443519492895412
115,15.491456490773388
116,15.539393488651367
117,15.587330486529346
118,15.63526748440732
119,15.683204482285296
120,15.731141480163275
121,15.779078478041253
122,15.827015475919227
123,15.874952473797205
124,15.922889471675186
125,15.970826469553161
126,16.018763467431135
127,16.066700465309115
128,16.11463746318709
129,16.16257446106507
130,16.210511458943046
131,16.258448456821018
132,16.306385454698997
133,16.354322452576973
134,16.402259450454956
135,16.450196448332928
136,16.498133446210907
137,16.546070444088887
138,16.594007441966866
139,16.641944439844842
140,16.689881437722818
141,16.737818435600797
142,16.785755433478773
143,16.83369243135675
144,16.881629429234728
145,16.929566427112707
146,16.97750342499068
147,17.025440422868655
148,17.073377420746635
149,17.121314418624607
150,17.16925141650259
151,17.217188414380566
152,17.265125412258538
153,17.313062410136517
154,17.360999408014493
155,17.408936405892476
156,17.456873403770448
157,17.504810401648427
158,17.552747399526407
159,17.600684397404386
160,17.648621395282365
161,17.696558393160338
162,17.744495391038313
163,17.792432388916293
164,17.84036938679427
165,17.888306384672244
166,17.936243382550227
167,17.9841803804282
168,18.03211737830617
169,18.080054376184155
170,18.127991374062134
171,18.17592837194011
172,18.223865369818085
173,18.271802367696058
174,18.319739365574037
175,18.36767636345202
176,18.41561336133
177,18.463550359207968
178,18.51148735708595
179,18.559424354963927
180,18.607361352841906
181,18.655298350719878
182,18.703235348597854
183,18.751172346475833
184,18.799109344353813
185,18.84704634223179
186,18.894983340109764
187,18.942920337987747
188,18.99085733586572
189,19.03879433374369
190,19.086731331621674
191,19.134668329499654
192,19.18260532737763
193,19.230542325255605
194,19.278479323133578
195,19.326416321011557
196,19.37435331888954
197,19.42229031676752
198,19.470227314645488
199,19.51816431252347
200,19.56610131040145
201,19.614038308279426
202,19.661975306157398
203,19.709912304035374
204,19.757849301913353
205,19.805786299791333
206,19.853723297669312
207,19.90166029554729
208,19.949597293425267
209,19.99753429130324
210,20.04547128918122
211,20.093408287059194
212,20.141345284937174
213,20.18928228281515
214,20.237219280693125
215,20.2851562785711
216,20.333093276449077
217,20.38103027432706
218,20.428967272205035
219,20.47690427008301
220,20.524841267960987
221,20.57277826583897
222,20.620715263716946
223,20.66865226159492
224,20.716589259472894
225,20.764526257350873
226,20.81246325522885
227,20.860400253106828
228,20.90833725098481
229,20.956274248862787
230,21.00421124674076
231,21.05214824461874
232,21.100085242496718
233,21.14802224037469
234,21.19595923825267
235,21.243896236130645
236,21.291833234008624
237,21.3397702318866
238,21.38770722976458
239,21.435644227642555
240,21.48358122552053
241,21.53151822339851
242,21.57945522127649
243,21.627392219154462
244,21.67532921703244
245,21.72326621491041
246,21.771203212788397
247,21.819140210666365
248,21.867077208544348
249,21.915014206422327
250,21.962951204300303
251,22.010888202178283
252,22.058825200056262
253,22.106762197934238
254,22.15469919581221
255,22.20263619369019
256,22.250573191568165
257,22.298510189446144
258,22.346447187324124
259,22.394384185202103
260,22.44232118308007
261,22.49025818095805
262,22.53819517883603
263,22.58613217671401
264,22.634069174591986
265,22.682006172469958
266,22.729943170347934
267,22.777880168225913
