,Regression
0,-18.572050878625898
1,-18.43539789440022
2,-18.298744910174538
3,-18.162091925948857
4,-18.02543894172318
5,-17.8887859574975
6,-17.75213297327182
7,-17.615479989046136
8,-17.478827004820452
9,-17.342174020594776
10,-17.205521036369095
11,-17.068868052143415
12,-16.932215067917735
13,-16.795562083692055
14,-16.658909099466374
15,-16.522256115240694
16,-16.385603131015014
17,-16.24895014678933
18,-16.112297162563653
19,-15.975644178337973
20,-15.838991194112289
21,-15.70233820988661
22,-15.565685225660927
23,-15.429032241435248
24,-15.292379257209568
25,-15.155726272983888
26,-15.019073288758207
27,-14.882420304532529
28,-14.745767320306847
29,-14.609114336081165
30,-14.472461351855486
31,-14.335808367629804
32,-14.199155383404126
33,-14.062502399178445
34,-13.92584941495276
35,-13.78919643072708
36,-13.6525434465014
37,-13.515890462275719
38,-13.379237478050038
39,-13.24258449382436
40,-13.10593150959868
41,-12.969278525373001
42,-12.832625541147321
43,-12.695972556921639
44,-12.559319572695957
45,-12.422666588470275
46,-12.286013604244594
47,-12.149360620018914
48,-12.012707635793236
49,-11.876054651567555
50,-11.739401667341873
51,-11.602748683116193
52,-11.466095698890513
53,-11.32944271466483
54,-11.192789730439152
55,-11.056136746213472
56,-10.919483761987788
57,-10.78283077776211
58,-10.64617779353643
59,-10.509524809310749
60,-10.372871825085069
61,-10.236218840859387
62,-10.099565856633708
63,-9.962912872408026
64,-9.826259888182346
65,-9.689606903956664
66,-9.552953919730983
67,-9.416300935505305
68,-9.279647951279623
69,-9.142994967053944
70,-9.006341982828262
71,-8.869688998602582
72,-8.733036014376903
73,-8.596383030151221
74,-8.45973004592554
75,-8.323077061699859
76,-8.186424077474179
77,-8.049771093248497
78,-7.913118109022817
79,-7.776465124797138
80,-7.639812140571457
81,-7.5031591563457765
82,-7.366506172120094
83,-7.229853187894415
84,-7.093200203668735
85,-6.956547219443054
86,-6.819894235217374
87,-6.683241250991693
88,-6.546588266766013
89,-6.409935282540332
90,-6.273282298314651
91,-6.136629314088972
92,-5.999976329863291
93,-5.863323345637609
94,-5.726670361411928
95,-5.590017377186248
96,-5.453364392960569
97,-5.316711408734888
98,-5.180058424509207
99,-5.043405440283528
100,-4.906752456057845
101,-4.7700994718321645
102,-4.633446487606483
103,-4.496793503380803
104,-4.360140519155124
105,-4.223487534929443
106,-4.086834550703761
107,-3.9501815664780815
108,-3.8135285822524008
109,-3.676875598026721
110,-3.54022261380104
111,-3.40356962957536
112,-3.2669166453496783
113,-3.1302636611239976
114,-2.9936106768983173
115,-2.8569576926726366
116,-2.7203047084469567
117,-2.5836517242212764
118,-2.4469987399955957
119,-2.310345755769916
120,-2.173692771544236
121,-2.0370397873185557
122,-1.9003868030928717
123,-1.7637338188671912
124,-1.6270808346415109
125,-1.4904278504158306
126,-1.3537748661901503
127,-1.21712188196447
128,-1.0804688977387895
129,-0.9438159135131096
130,-0.8071629292874292
131,-0.6705099450617489
132,-0.5338569608360686
133,-0.3972039766103883
134,-0.260550992384708
135,-0.1238980081590242
136,0.0127549760666561
137,0.14940796029233638
138,0.2860609445180167
139,0.42271392874369695
140,0.5593669129693772
141,0.6960198971950575
142,0.8326728814207378
143,0.969325865646418
144,1.1059788498720984
145,1.2426318340977789
146,1.379284818323459
147,1.5159378025491392
148,1.6525907867748233
149,1.7892437710005034
150,1.925896755226184
151,2.062549739451864
152,2.199202723677544
153,2.3358557079032245
154,2.472508692128905
155,2.609161676354585
156,2.7458146605802654
157,2.8824676448059456
158,3.0191206290316264
159,3.155773613257306
160,3.2924265974829865
161,3.4290795817086703
162,3.5657325659343506
163,3.7023855501600313
164,3.8390385343857116
165,3.975691518611392
166,4.112344502837072
167,4.248997487062752
168,4.385650471288431
169,4.5223034555141135
170,4.658956439739793
171,4.795609423965472
172,4.9322624081911535
173,5.068915392416836
174,5.2055683766425185
175,5.342221360868198
176,5.478874345093878
177,5.6155273293195584
178,5.752180313545238
179,5.888833297770919
180,6.025486281996598
181,6.1621392662222805
182,6.29879225044796
183,6.435445234673639
184,6.57209821889932
185,6.708751203125002
186,6.845404187350685
187,6.982057171576365
188,7.118710155802045
189,7.2553631400277245
190,7.392016124253407
191,7.528669108479086
192,7.665322092704767
193,7.8019750769304475
194,7.938628061156128
195,8.075281045381807
196,8.211934029607487
197,8.348587013833168
198,8.485239998058848
199,8.621892982284534
200,8.758545966510212
201,8.895198950735892
202,9.031851934961571
203,9.168504919187253
204,9.305157903412931
205,9.441810887638614
206,9.578463871864292
207,9.715116856089974
208,9.851769840315654
209,9.988422824541336
210,10.125075808767017
211,10.261728792992695
212,10.39838177721838
213,10.535034761444061
214,10.67168774566974
215,10.80834072989542
216,10.944993714121098
217,11.081646698346779
218,11.21829968257246
219,11.354952666798141
220,11.49160565102382
221,11.628258635249503
222,11.764911619475182
223,11.901564603700864
224,12.038217587926544
225,12.174870572152223
226,12.311523556377908
227,12.448176540603587
228,12.584829524829269
229,12.721482509054947
230,12.858135493280628
231,12.994788477506306
232,13.13144146173199
233,13.268094445957669
234,13.404747430183349
235,13.541400414409035
236,13.67805339863471
237,13.814706382860393
238,13.95135936708607
239,14.088012351311756
240,14.224665335537429
241,14.361318319763114
242,14.497971303988793
243,14.634624288214473
244,14.771277272440159
245,14.907930256665836
246,15.04458324089152
247,15.181236225117194
248,15.31788920934288
249,15.454542193568553
250,15.591195177794239
251,15.727848162019914
252,15.8645011462456
253,16.001154130471278
254,16.13780711469696
255,16.274460098922642
256,16.411113083148322
257,16.547766067374006
258,16.684419051599686
259,16.821072035825367
260,16.957725020051047
261,17.094378004276727
262,17.231030988502404
263,17.367683972728088
264,17.504336956953765
265,17.64098994117945
266,17.777642925405125
267,17.91429590963081
268,18.050948893856486
269,18.187601878082173
270,18.32425486230785
271,18.460907846533534
272,18.59756083075921
273,18.73421381498489
274,18.870866799210575
275,19.00751978343625
276,19.144172767661935
277,19.28082575188761
278,19.4174787361133
279,19.55413172033897
280,19.690784704564656
281,19.82743768879033
282,19.964090673016017
283,20.1007436572417
284,20.237396641467377
285,20.374049625693058
286,20.510702609918734
287,20.647355594144425
288,20.784008578370102
289,20.920661562595786
290,21.05731454682146
291,21.193967531047143
292,21.33062051527282
293,21.467273499498503
294,21.60392648372418
295,21.740579467949864
296,21.877232452175544
297,22.013885436401228
298,22.150538420626912
299,22.287191404852585
