,Regression
0,51.91033131397785
1,51.91664283762864
2,51.92295436127944
3,51.92926588493024
4,51.935577408581025
5,51.94188893223183
6,51.94820045588261
7,51.95451197953342
8,51.96082350318422
9,51.96713502683501
10,51.97344655048581
11,51.9797580741366
12,51.9860695977874
13,51.992381121438186
14,51.998692645088994
15,52.005004168739774
16,52.011315692390575
17,52.01762721604138
18,52.02393873969217
19,52.030250263342964
20,52.03656178699376
21,52.04287331064456
22,52.049184834295346
23,52.05549635794615
24,52.061807881596934
25,52.06811940524774
26,52.074430928898536
27,52.08074245254932
28,52.08705397620013
29,52.09336549985092
30,52.09967702350172
31,52.105988547152506
32,52.11230007080331
33,52.118611594454094
34,52.124923118104896
35,52.131234641755704
36,52.13754616540649
37,52.14385768905729
38,52.15016921270808
39,52.15648073635888
40,52.16279226000968
41,52.16910378366047
42,52.175415307311255
43,52.18172683096207
44,52.18803835461286
45,52.194349878263644
46,52.20066140191445
47,52.206972925565246
48,52.21328444921604
49,52.219595972866834
50,52.22590749651763
51,52.23221902016842
52,52.238530543819216
53,52.244842067470024
54,52.25115359112082
55,52.25746511477161
56,52.26377663842239
57,52.2700881620732
58,52.276399685724
59,52.28271120937479
60,52.28902273302558
61,52.29533425667638
62,52.30164578032718
63,52.307957303977965
64,52.31426882762877
65,52.320580351279574
66,52.32689187493036
67,52.333203398581155
68,52.33951492223195
69,52.34582644588274
70,52.35213796953354
71,52.358449493184345
72,52.36476101683514
73,52.371072540485926
74,52.37738406413673
75,52.38369558778752
76,52.39000711143832
77,52.39631863508911
78,52.4026301587399
79,52.4089416823907
80,52.4152532060415
81,52.421564729692285
82,52.42787625334309
83,52.434187776993895
84,52.44049930064468
85,52.446810824295476
86,52.45312234794627
87,52.459433871597064
88,52.46574539524786
89,52.47205691889866
90,52.47836844254946
91,52.48467996620025
92,52.49099148985105
93,52.49730301350184
94,52.50361453715264
95,52.50992606080343
96,52.516237584454224
97,52.52254910810503
98,52.52886063175582
99,52.535172155406606
100,52.54148367905741
101,52.54779520270821
102,52.554106726358995
103,52.560418250009796
104,52.56672977366059
105,52.573041297311384
106,52.57935282096218
107,52.58566434461298
108,52.591975868263766
109,52.59828739191457
110,52.60459891556537
111,52.610910439216156
112,52.617221962866964
113,52.62353348651775
114,52.629845010168545
115,52.63615653381935
116,52.64246805747014
117,52.64877958112093
118,52.65509110477173
119,52.66140262842253
120,52.667714152073316
121,52.67402567572412
122,52.680337199374904
123,52.686648723025705
124,52.6929602466765
125,52.6992717703273
126,52.7055832939781
127,52.71189481762889
128,52.71820634127969
129,52.724517864930476
130,52.730829388581284
131,52.73714091223207
132,52.743452435882865
133,52.749763959533674
134,52.75607548318446
135,52.76238700683526
136,52.76869853048605
137,52.77501005413685
138,52.78132157778765
139,52.78763310143844
140,52.793944625089225
141,52.800256148740026
142,52.80656767239083
143,52.812879196041614
144,52.81919071969242
145,52.82550224334321
146,52.83181376699401
147,52.8381252906448
148,52.8444368142956
149,52.850748337946385
150,52.857059861597186
151,52.863371385247994
152,52.86968290889878
153,52.87599443254958
154,52.88230595620037
155,52.88861747985117
156,52.89492900350197
157,52.90124052715276
158,52.907552050803545
159,52.91386357445435
160,52.92017509810515
161,52.926486621755934
162,52.93279814540674
163,52.93910966905753
164,52.94542119270833
165,52.95173271635913
166,52.95804424000992
167,52.964355763660706
168,52.97066728731153
169,52.976978810962315
170,52.9832903346131
171,52.9896018582639
172,52.99591338191469
173,53.00222490556549
174,53.00853642921629
175,53.01484795286708
176,53.021159476517866
177,53.027471000168674
178,53.03378252381947
179,53.040094047470255
180,53.04640557112106
181,53.05271709477185
182,53.05902861842265
183,53.06534014207345
184,53.07165166572424
185,53.077963189375026
186,53.08427471302585
187,53.090586236676636
188,53.09689776032742
189,53.10320928397822
190,53.109520807629
191,53.11583233127981
192,53.12214385493061
193,53.1284553785814
194,53.13476690223219
195,53.141078425882995
196,53.14738994953379
197,53.153701473184576
198,53.160012996835384
199,53.16632452048617
200,53.17263604413697
201,53.17894756778777
202,53.18525909143856
203,53.19157061508936
204,53.197882138740155
205,53.204193662390956
206,53.21050518604174
207,53.21681670969254
208,53.223128233343324
209,53.22943975699413
210,53.235751280644934
211,53.24206280429572
212,53.24837432794651
213,53.254685851597316
214,53.26099737524811
215,53.2673088988989
216,53.273620422549705
217,53.27993194620049
218,53.28624346985129
219,53.292554993502094
220,53.29886651715288
221,53.30517804080368
222,53.311489564454476
223,53.31780108810528
224,53.32411261175606
225,53.33042413540686
226,53.336735659057645
227,53.34304718270845
228,53.349358706359254
229,53.35567023001004
230,53.36198175366084
231,53.368293277311636
232,53.37460480096243
233,53.38091632461322
234,53.387227848264025
235,53.39353937191481
236,53.399850895565606
237,53.40616241921641
238,53.4124739428672
239,53.418785466518
240,53.425096990168804
241,53.43140851381959
242,53.43772003747039
243,53.44403156112118
244,53.450343084771966
245,53.456654608422774
246,53.462966132073575
247,53.46927765572436
248,53.475589179375156
249,53.481900703025964
250,53.48821222667675
251,53.49452375032754
252,53.500835273978346
253,53.50714679762914
254,53.513458321279934
255,53.51976984493073
256,53.52608136858152
257,53.53239289223232
258,53.538704415883124
259,53.54501593953391
260,53.55132746318471
261,53.5576389868355
262,53.563950510486286
263,53.57026203413711
264,53.576573557787896
265,53.582885081438675
266,53.58919660508948
267,53.595508128740285
268,53.60181965239107
269,53.60813117604186
270,53.61444269969266
271,53.62075422334346
272,53.627065746994255
273,53.63337727064505
274,53.63968879429584
275,53.646000317946644
276,53.65231184159743
277,53.658623365248225
278,53.66493488889903
279,53.67124641254982
280,53.67755793620061
281,53.683869459851415
282,53.69018098350221
283,53.696492507152996
284,53.7028040308038
285,53.709115554454606
286,53.71542707810539
287,53.72173860175618
288,53.72805012540698
289,53.73436164905778
290,53.740673172708576
291,53.74698469635937
292,53.75329622001016
293,53.759607743660965
294,53.76591926731175
295,53.772230790962546
296,53.778542314613354
297,53.78485383826414
298,53.79116536191494
299,53.797476885565736
300,53.80378840921653
301,53.810099932867324
302,53.81641145651812
303,53.822722980168926
304,53.82903450381971
305,53.835346027470514
306,53.841657551121294
307,53.8479690747721
308,53.854280598422896
309,53.86059212207369
310,53.86690364572448
311,53.87321516937528
312,53.87952669302607
313,53.885838216676866
314,53.892149740327675
315,53.89846126397846
316,53.90477278762926
317,53.91108431128006
318,53.91739583493085
319,53.923707358581645
320,53.93001888223244
321,53.93633040588325
322,53.942641929534034
323,53.94895345318482
324,53.955264976835615
325,53.96157650048642
326,53.96788802413722
327,53.97419954778801
328,53.980511071438805
329,53.9868225950896
330,53.99313411874039
331,53.99944564239121
332,54.005757166041995
333,54.01206868969278
334,54.01838021334358
335,54.024691736994384
336,54.03100326064517
337,54.03731478429597
338,54.04362630794676
339,54.04993783159757
340,54.056249355248355
341,54.06256087889915
342,54.068872402549935
343,54.075183926200744
344,54.081495449851545
345,54.08780697350233
346,54.09411849715313
347,54.10043002080393
348,54.10674154445472
349,54.11305306810553
350,54.119364591756316
351,54.1256761154071
352,54.1319876390579
353,54.138299162708705
354,54.14461068635949
355,54.15092221001029
356,54.1572337336611
357,54.16354525731188
358,54.169856780962675
359,54.17616830461347
360,54.182479828264256
361,54.188791351915064
362,54.195102875565865
363,54.20141439921665
364,54.20772592286745
365,54.21403744651825
366,54.22034897016904
367,54.22666049381985
368,54.23297201747064
369,54.239283541121424
370,54.245595064772225
371,54.251906588423026
372,54.25821811207381
373,54.264529635724614
374,54.27084115937541
375,54.2771526830262
376,54.283464206676996
377,54.28977573032779
378,54.29608725397858
379,54.302398777629385
380,54.308710301280186
381,54.31502182493097
382,54.321333348581774
383,54.32764487223257
384,54.33395639588336
385,54.340267919534156
386,54.34657944318496
387,54.352890966835744
388,54.359202490486545
389,54.36551401413735
