,Regression
0,55.68256232609368
1,55.687075136122644
2,55.69158794615162
3,55.69610075618057
4,55.70061356620953
5,55.705126376238496
6,55.70963918626746
7,55.71415199629642
8,55.71866480632538
9,55.72317761635434
10,55.7276904263833
11,55.732203236412275
12,55.73671604644123
13,55.74122885647019
14,55.74574166649916
15,55.75025447652811
16,55.754767286557076
17,55.75928009658604
18,55.763792906615
19,55.76830571664397
20,55.77281852667293
21,55.77733133670189
22,55.781844146730855
23,55.78635695675982
24,55.79086976678877
25,55.795382576817744
26,55.79989538684671
27,55.804408196875656
28,55.80892100690462
29,55.813433816933575
30,55.817946626962545
31,55.82245943699151
32,55.82697224702047
33,55.83148505704943
34,55.83599786707839
35,55.84051067710735
36,55.84502348713632
37,55.84953629716528
38,55.85404910719424
39,55.858561917223206
40,55.86307472725216
41,55.86758753728113
42,55.872100347310095
43,55.87661315733905
44,55.881125967368014
45,55.88563877739696
46,55.890151587425926
47,55.8946643974549
48,55.899177207483866
49,55.903690017512815
50,55.90820282754178
51,55.91271563757074
52,55.917228447599705
53,55.92174125762867
54,55.92625406765763
55,55.930766877686594
56,55.93527968771555
57,55.93979249774451
58,55.944305307773476
59,55.94881811780244
60,55.9533309278314
61,55.957843737860365
62,55.96235654788932
63,55.96686935791829
64,55.971382167947255
65,55.97589497797621
66,55.980407788005174
67,55.98492059803414
68,55.9894334080631
69,55.99394621809206
70,55.998459028121026
71,56.002971838149975
72,56.00748464817895
73,56.0119974582079
74,56.01651026823686
75,56.02102307826583
76,56.02553588829479
77,56.030048698323746
78,56.034561508352716
79,56.03907431838167
80,56.04358712841064
81,56.0480999384396
82,56.05261274846856
83,56.05712555849753
84,56.061638368526495
85,56.066151178555444
86,56.07066398858441
87,56.07517679861337
88,56.07968960864233
89,56.084202418671296
90,56.08871522870026
91,56.09322803872922
92,56.097740848758185
93,56.102253658787134
94,56.1067664688161
95,56.111279278845075
96,56.11579208887404
97,56.12030489890299
98,56.12481770893195
99,56.129330518960906
100,56.13384332898989
101,56.13835613901884
102,56.142868949047795
103,56.14738175907676
104,56.15189456910572
105,56.156407379134684
106,56.16092018916365
107,56.16543299919261
108,56.16994580922157
109,56.17445861925054
110,56.17897142927949
111,56.18348423930846
112,56.187997049337426
113,56.19250985936638
114,56.197022669395345
115,56.201535479424294
116,56.20604828945326
117,56.210561099482234
118,56.21507390951118
119,56.219586719540146
120,56.22409952956911
121,56.22861233959807
122,56.233125149627035
123,56.237637959656
124,56.24215076968496
125,56.246663579713925
126,56.25117638974288
127,56.255689199771844
128,56.260202009800814
129,56.26471481982977
130,56.269227629858726
131,56.27374043988769
132,56.27825324991665
133,56.28276605994562
134,56.28727886997458
135,56.29179168000354
136,56.296304490032504
137,56.30081730006147
138,56.305330110090416
139,56.309842920119394
140,56.31435573014836
141,56.31886854017732
142,56.32338135020628
143,56.327894160235225
144,56.33240697026421
145,56.33691978029316
146,56.341432590322114
147,56.3459454003511
148,56.35045821038005
149,56.354971020409
150,56.359483830437966
151,56.36399664046693
