,Regression
0,37.07207831645243
1,37.06730138080853
2,37.06252444516462
3,37.05774750952071
4,37.0529705738768
5,37.04819363823289
6,37.04341670258898
7,37.038639766945074
8,37.03386283130116
9,37.029085895657246
10,37.024308960013336
11,37.01953202436943
12,37.01475508872552
13,37.009978153081605
14,37.005201217437694
15,37.00042428179378
16,36.995647346149866
17,36.99087041050596
18,36.986093474862045
19,36.98131653921814
20,36.97653960357423
21,36.97176266793032
22,36.9669857322864
23,36.9622087966425
24,36.95743186099859
25,36.95265492535468
26,36.947877989710776
27,36.94310105406686
28,36.938324118422955
29,36.93354718277904
30,36.928770247135134
31,36.923993311491216
32,36.919216375847306
33,36.9144394402034
34,36.90966250455949
35,36.904885568915574
36,36.900108633271664
37,36.895331697627746
38,36.89055476198384
39,36.88577782633993
40,36.88100089069602
41,36.87622395505211
42,36.8714470194082
43,36.86667008376429
44,36.86189314812039
45,36.85711621247647
46,36.85233927683256
47,36.84756234118865
48,36.842785405544745
49,36.83800846990083
50,36.83323153425692
51,36.82845459861301
52,36.823677662969104
53,36.818900727325186
54,36.81412379168128
55,36.80934685603737
56,36.804569920393455
57,36.79979298474953
58,36.795016049105634
59,36.790239113461716
60,36.78546217781781
61,36.7806852421739
62,36.77590830652999
63,36.77113137088608
64,36.76635443524217
65,36.76157749959826
66,36.75680056395435
67,36.75202362831044
68,36.74724669266653
69,36.74246975702262
70,36.737692821378715
71,36.7329158857348
72,36.72813895009089
73,36.72336201444698
74,36.71858507880306
75,36.713808143159156
76,36.70903120751525
77,36.704254271871335
78,36.699477336227424
79,36.69470040058353
80,36.6899234649396
81,36.685146529295686
82,36.68036959365178
83,36.675592658007865
84,36.67081572236396
85,36.666038786720044
86,36.66126185107615
87,36.656484915432245
88,36.65170797978833
89,36.646931044144424
90,36.642154108500506
91,36.6373771728566
92,36.632600237212685
93,36.627823301568775
94,36.62304636592487
95,36.61826943028096
96,36.61349249463704
97,36.60871555899313
98,36.603938623349215
99,36.59916168770531
100,36.5943847520614
101,36.58960781641749
102,36.58483088077358
103,36.58005394512967
104,36.57527700948576
105,36.570500073841856
106,36.56572313819794
107,36.56094620255403
108,36.55616926691012
109,36.551392331266214
110,36.5466153956223
111,36.541838459978386
112,36.537061524334476
113,36.53228458869057
114,36.527507653046655
115,36.52273071740274
116,36.51795378175883
117,36.51317684611492
118,36.508399910471006
119,36.5036229748271
120,36.498846039183185
121,36.49406910353928
122,36.48929216789537
123,36.48451523225146
124,36.47973829660755
125,36.47496136096364
126,36.47018442531973
127,36.46540748967582
128,36.46063055403191
129,36.455853618388
130,36.451076682744095
131,36.446299747100184
132,36.441522811456274
133,36.436745875812356
134,36.43196894016845
135,36.42719200452453
136,36.42241506888063
137,36.41763813323672
138,36.4128611975928
139,36.40808426194889
140,36.403307326304976
141,36.398530390661065
142,36.393753455017155
143,36.38897651937325
144,36.38419958372934
145,36.37942264808543
146,36.37464571244153
147,36.36986877679761
148,36.3650918411537
149,36.36031490550979
150,36.355537969865885
151,36.35076103422197
152,36.345984098578064
153,36.341207162934154
154,36.33643022729024
155,36.331653291646326
156,36.32687635600241
157,36.32209942035851
158,36.3173224847146
159,36.312545549070684
160,36.307768613426774
161,36.30299167778286
162,36.29821474213895
163,36.293437806495035
164,36.28866087085113
165,36.28388393520722
166,36.27910699956331
167,36.27433006391939
168,36.26955312827549
169,36.26477619263158
170,36.25999925698767
171,36.25522232134376
172,36.250445385699855
173,36.24566845005594
174,36.240891514412034
175,36.23611457876812
176,36.23133764312421
177,36.226560707480296
178,36.22178377183639
179,36.217006836192475
180,36.212229900548564
181,36.207452964904654
182,36.20267602926074
183,36.197899093616826
184,36.19312215797292
185,36.188345222329005
186,36.1835682866851
187,36.17879135104119
188,36.17401441539728
189,36.16923747975336
190,36.16446054410946
191,36.15968360846555
192,36.15490667282164
193,36.15012973717773
