,Regression
0,-55.343142318796566
1,-55.13322335869778
2,-54.92330439859901
3,-54.713385438500225
4,-54.50346647840144
5,-54.29354751830266
6,-54.08362855820389
7,-53.873709598105094
8,-53.663790638006326
9,-53.45387167790754
10,-53.24395271780876
11,-53.03403375770998
12,-52.8241147976112
13,-52.614195837512405
14,-52.40427687741364
15,-52.19435791731485
16,-51.98443895721607
17,-51.77451999711729
18,-51.56460103701851
19,-51.35468207691973
20,-51.144763116820954
21,-50.93484415672216
22,-50.724925196623396
23,-50.51500623652461
24,-50.305087276425816
25,-50.09516831632704
26,-49.88524935622826
27,-49.675330396129475
28,-49.4654114360307
29,-49.25549247593192
30,-49.04557351583314
31,-48.83565455573436
32,-48.625735595635575
33,-48.415816635536785
34,-48.205897675438024
35,-47.99597871533922
36,-47.78605975524045
37,-47.57614079514167
38,-47.366221835042886
39,-47.1563028749441
40,-46.94638391484532
41,-46.73646495474655
42,-46.52654599464777
43,-46.31662703454898
44,-46.106708074450204
45,-45.89678911435143
46,-45.68687015425265
47,-45.47695119415386
48,-45.26703223405508
49,-45.0571132739563
50,-44.84719431385753
51,-44.637275353758746
52,-44.42735639365996
53,-44.21743743356117
54,-44.0075184734624
55,-43.79759951336362
56,-43.587680553264825
57,-43.377761593166056
58,-43.16784263306727
59,-42.95792367296849
60,-42.74800471286971
61,-42.53808575277093
62,-42.32816679267215
63,-42.11824783257337
64,-41.90832887247458
65,-41.698409912375816
66,-41.48849095227703
67,-41.27857199217824
68,-41.06865303207946
69,-40.858734071980685
70,-40.6488151118819
71,-40.43889615178312
72,-40.228977191684336
73,-40.01905823158557
74,-39.809139271486785
75,-39.599220311388
76,-39.38930135128921
77,-39.17938239119043
78,-38.96946343109165
79,-38.759544470992864
80,-38.549625510894096
81,-38.33970655079531
82,-38.12978759069653
83,-37.91986863059775
84,-37.709949670498965
85,-37.50003071040018
86,-37.290111750301406
87,-37.08019279020263
88,-36.87027383010385
89,-36.660354870005065
90,-36.45043590990628
91,-36.2405169498075
92,-36.03059798970872
93,-35.82067902960993
94,-35.61076006951116
95,-35.400841109412376
96,-35.19092214931359
97,-34.98100318921482
98,-34.771084229116035
99,-34.561165269017245
100,-34.35124630891848
101,-34.14132734881969
102,-33.93140838872091
103,-33.72148942862213
104,-33.511570468523345
105,-33.30165150842457
106,-33.091732548325794
107,-32.881813588227004
108,-32.67189462812823
109,-32.46197566802944
110,-32.25205670793066
111,-32.04213774783188
112,-31.8322187877331
113,-31.622299827634322
114,-31.41238086753554
115,-31.202461907436764
116,-30.992542947337977
117,-30.782623987239194
118,-30.57270502714041
119,-30.362786067041636
120,-30.152867106942853
121,-29.94294814684407
122,-29.73302918674529
123,-29.523110226646512
124,-29.313191266547733
125,-29.10327230644895
126,-28.893353346350175
127,-28.68343438625139
128,-28.47351542615261
129,-28.263596466053823
130,-28.053677505955047
131,-27.843758545856264
132,-27.633839585757478
133,-27.423920625658702
134,-27.21400166555992
135,-27.00408270546114
136,-26.794163745362358
137,-26.584244785263575
138,-26.3743258251648
139,-26.164406865066013
140,-25.954487904967237
141,-25.74456894486845
142,-25.534649984769672
143,-25.324731024670893
144,-25.11481206457211
145,-24.904893104473327
146,-24.69497414437455
147,-24.48505518427577
148,-24.275136224176983
149,-24.06521726407821
150,-23.855298303979424
151,-23.645379343880645
