,0
0,-46.11738865489829
1,-45.9824039640288
2,-45.8474192731593
3,-45.7124345822898
4,-45.57744989142031
5,-45.442465200550814
6,-45.30748050968132
7,-45.17249581881182
8,-45.037511127942324
9,-44.90252643707283
10,-44.767541746203335
11,-44.632557055333834
12,-44.49757236446434
13,-44.362587673594845
14,-44.22760298272535
15,-44.09261829185585
16,-43.957633600986355
17,-43.82264891011686
18,-43.68766421924737
19,-43.552679528377865
20,-43.41769483750837
21,-43.28271014663888
22,-43.14772545576938
23,-43.01274076489988
24,-42.87775607403039
25,-42.74277138316089
26,-42.6077866922914
27,-42.4728020014219
28,-42.3378173105524
29,-42.20283261968291
30,-42.067847928813414
31,-41.93286323794392
32,-41.79787854707442
33,-41.662893856204924
34,-41.52790916533543
35,-41.39292447446593
36,-41.257939783596434
37,-41.12295509272694
38,-40.987970401857446
39,-40.85298571098795
40,-40.71800102011845
41,-40.583016329248956
42,-40.44803163837946
43,-40.31304694750997
44,-40.178062256640466
45,-40.04307756577097
46,-39.90809287490148
47,-39.77310818403198
48,-39.63812349316248
49,-39.50313880229299
50,-39.36815411142349
51,-39.233169420554
52,-39.0981847296845
53,-38.963200038815
54,-38.82821534794551
55,-38.693230657076015
56,-38.55824596620651
57,-38.42326127533702
58,-38.288276584467525
59,-38.15329189359803
60,-38.018307202728536
61,-37.883322511859035
62,-37.74833782098954
63,-37.613353130120046
64,-37.478368439250545
65,-37.34338374838105
66,-37.208399057511556
67,-37.07341436664206
68,-36.93842967577257
69,-36.80344498490307
70,-36.66846029403357
71,-36.53347560316408
72,-36.39849091229458
73,-36.26350622142508
74,-36.12852153055559
75,-35.993536839686094
76,-35.8585521488166
77,-35.7235674579471
78,-35.588582767077604
79,-35.45359807620811
80,-35.31861338533861
81,-35.18362869446912
82,-35.04864400359962
83,-34.913659312730125
84,-34.77867462186063
85,-34.64368993099113
86,-34.508705240121635
87,-34.37372054925214
88,-34.23873585838265
89,-34.10375116751315
90,-33.96876647664365
91,-33.83378178577416
92,-33.69879709490466
93,-33.56381240403516
94,-33.42882771316567
95,-33.29384302229617
96,-33.15885833142668
97,-33.023873640557184
98,-32.88888894968768
99,-32.75390425881819
100,-32.618919567948694
101,-32.48393487707919
102,-32.3489501862097
103,-32.213965495340204
104,-32.07898080447071
105,-31.943996113601212
106,-31.809011422731714
107,-31.67402673186222
108,-31.539042040992726
109,-31.404057350123228
110,-31.26907265925373
111,-31.134087968384236
112,-30.99910327751474
113,-30.864118586645247
114,-30.72913389577575
115,-30.594149204906252
116,-30.459164514036758
117,-30.324179823167263
118,-30.189195132297765
119,-30.054210441428268
120,-29.919225750558773
121,-29.784241059689275
122,-29.64925636881978
123,-29.514271677950283
124,-29.37928698708079
125,-29.24430229621129
126,-29.109317605341797
127,-28.9743329144723
128,-28.839348223602805
129,-28.70436353273331
130,-28.569378841863813
131,-28.43439415099432
132,-28.29940946012482
133,-28.164424769255326
134,-28.02944007838583
135,-27.894455387516334
136,-27.759470696646837
137,-27.624486005777342
138,-27.489501314907844
139,-27.35451662403835
140,-27.219531933168852
141,-27.084547242299358
142,-26.94956255142986
143,-26.814577860560366
144,-26.679593169690868
145,-26.544608478821374
146,-26.409623787951876
147,-26.27463909708238
148,-26.139654406212884
149,-26.00466971534339
150,-25.869685024473892
151,-25.734700333604398
152,-25.5997156427349
153,-25.464730951865405
154,-25.329746260995908
155,-25.194761570126413
156,-25.059776879256916
157,-24.92479218838742
158,-24.789807497517923
159,-24.65482280664843
160,-24.51983811577893
161,-24.384853424909437
162,-24.249868734039943
163,-24.114884043170445
164,-23.97989935230095
165,-23.844914661431453
166,-23.70992997056196
167,-23.57494527969246
168,-23.439960588822967
169,-23.30497589795347
170,-23.169991207083974
171,-23.035006516214477
172,-22.900021825344982
173,-22.765037134475484
174,-22.63005244360599
175,-22.495067752736492
176,-22.360083061866998
177,-22.2250983709975
178,-22.090113680128006
179,-21.955128989258508
180,-21.820144298389014
181,-21.685159607519516
182,-21.550174916650022
183,-21.415190225780524
184,-21.28020553491103
185,-21.145220844041532
186,-21.010236153172038
187,-20.87525146230254
188,-20.740266771433046
189,-20.605282080563548
190,-20.470297389694053
191,-20.335312698824556
192,-20.20032800795506
193,-20.065343317085567
194,-19.93035862621607
195,-19.795373935346575
196,-19.660389244477077
197,-19.525404553607583
198,-19.390419862738085
199,-19.25543517186859
200,-19.120450480999093
201,-18.9854657901296
202,-18.8504810992601
203,-18.715496408390607
204,-18.58051171752111
205,-18.445527026651614
206,-18.310542335782117
207,-18.175557644912622
208,-18.040572954043125
209,-17.90558826317363
210,-17.770603572304132
211,-17.635618881434638
212,-17.50063419056514
213,-17.365649499695646
214,-17.23066480882615
215,-17.095680117956654
