,0
0,-12.426427719125702
1,-12.403231598349322
2,-12.38003547757294
3,-12.356839356796561
4,-12.333643236020182
5,-12.310447115243802
6,-12.28725099446742
7,-12.264054873691041
8,-12.240858752914662
9,-12.21766263213828
10,-12.1944665113619
11,-12.171270390585521
12,-12.14807426980914
13,-12.12487814903276
14,-12.10168202825638
15,-12.078485907480001
16,-12.05528978670362
17,-12.03209366592724
18,-12.00889754515086
19,-11.98570142437448
20,-11.9625053035981
21,-11.93930918282172
22,-11.91611306204534
23,-11.89291694126896
24,-11.86972082049258
25,-11.8465246997162
26,-11.823328578939819
27,-11.80013245816344
28,-11.77693633738706
29,-11.75374021661068
30,-11.730544095834299
31,-11.70734797505792
32,-11.68415185428154
33,-11.660955733505158
34,-11.637759612728779
35,-11.6145634919524
36,-11.591367371176018
37,-11.568171250399638
38,-11.544975129623259
39,-11.52177900884688
40,-11.498582888070498
41,-11.475386767294118
42,-11.452190646517739
43,-11.428994525741357
44,-11.405798404964978
45,-11.382602284188598
46,-11.359406163412217
47,-11.336210042635837
48,-11.313013921859458
49,-11.289817801083078
50,-11.266621680306697
51,-11.243425559530317
52,-11.220229438753938
53,-11.197033317977557
54,-11.173837197201177
55,-11.150641076424797
56,-11.127444955648418
57,-11.104248834872037
58,-11.081052714095657
59,-11.057856593319277
60,-11.034660472542896
61,-11.011464351766517
62,-10.988268230990137
63,-10.965072110213757
64,-10.941875989437376
65,-10.918679868660996
66,-10.895483747884617
67,-10.872287627108236
68,-10.849091506331856
69,-10.825895385555476
70,-10.802699264779097
71,-10.779503144002716
72,-10.756307023226336
73,-10.733110902449956
74,-10.709914781673575
75,-10.686718660897196
76,-10.663522540120816
77,-10.640326419344436
78,-10.617130298568055
79,-10.593934177791676
80,-10.570738057015294
81,-10.547541936238915
82,-10.524345815462535
83,-10.501149694686156
84,-10.477953573909774
85,-10.454757453133395
86,-10.431561332357015
87,-10.408365211580634
88,-10.385169090804254
89,-10.361972970027875
90,-10.338776849251495
91,-10.315580728475114
92,-10.292384607698734
93,-10.269188486922355
94,-10.245992366145973
95,-10.222796245369594
96,-10.199600124593214
97,-10.176404003816835
98,-10.153207883040453
99,-10.130011762264074
100,-10.106815641487694
101,-10.083619520711313
102,-10.060423399934933
103,-10.037227279158554
104,-10.014031158382174
105,-9.990835037605793
106,-9.967638916829413
107,-9.944442796053034
108,-9.921246675276652
109,-9.898050554500273
110,-9.874854433723893
111,-9.851658312947514
112,-9.828462192171132
113,-9.805266071394753
114,-9.782069950618371
115,-9.758873829841992
116,-9.735677709065612
117,-9.712481588289233
118,-9.689285467512853
119,-9.666089346736472
120,-9.642893225960092
121,-9.619697105183711
122,-9.596500984407331
123,-9.573304863630952
124,-9.550108742854572
125,-9.526912622078193
126,-9.503716501301811
127,-9.480520380525432
128,-9.45732425974905
129,-9.434128138972671
130,-9.410932018196291
131,-9.387735897419912
132,-9.36453977664353
133,-9.341343655867151
134,-9.318147535090771
135,-9.29495141431439
136,-9.27175529353801
137,-9.248559172761631
138,-9.225363051985251
139,-9.20216693120887
140,-9.17897081043249
141,-9.155774689656111
142,-9.13257856887973
143,-9.10938244810335
144,-9.08618632732697
145,-9.062990206550591
146,-9.03979408577421
147,-9.01659796499783
148,-8.99340184422145
149,-8.97020572344507
150,-8.94700960266869
151,-8.92381348189231
152,-8.90061736111593
153,-8.87742124033955
154,-8.85422511956317
155,-8.831028998786788
156,-8.807832878010409
157,-8.78463675723403
158,-8.76144063645765
159,-8.73824451568127
160,-8.715048394904889
161,-8.69185227412851
162,-8.668656153352128
163,-8.645460032575748
164,-8.622263911799369
165,-8.59906779102299
166,-8.575871670246608
167,-8.552675549470228
168,-8.529479428693849
169,-8.506283307917467
170,-8.483087187141088
171,-8.459891066364708
172,-8.436694945588329
173,-8.413498824811949
174,-8.390302704035568
175,-8.367106583259186
176,-8.343910462482807
177,-8.320714341706427
178,-8.297518220930048
179,-8.274322100153668
180,-8.251125979377289
181,-8.227929858600907
182,-8.204733737824526
183,-8.181537617048146
184,-8.158341496271767
185,-8.135145375495387
186,-8.111949254719008
187,-8.088753133942626
188,-8.065557013166247
189,-8.042360892389866
190,-8.019164771613486
191,-7.995968650837106
192,-7.972772530060727
193,-7.949576409284346
194,-7.926380288507966
195,-7.903184167731586
196,-7.879988046955206
197,-7.856791926178826
198,-7.833595805402446
199,-7.8103996846260655
200,-7.787203563849686
201,-7.7640074430733055
202,-7.740811322296926
203,-7.7176152015205455
204,-7.694419080744165
205,-7.6712229599677855
206,-7.648026839191405
207,-7.6248307184150255
208,-7.601634597638645
209,-7.5784384768622655
210,-7.555242356085885
211,-7.532046235309505
212,-7.508850114533125
213,-7.485653993756745
214,-7.462457872980365
215,-7.439261752203985
216,-7.416065631427604
217,-7.3928695106512246
218,-7.369673389874844
219,-7.3464772690984645
220,-7.323281148322084
221,-7.3000850275457045
222,-7.276888906769324
223,-7.253692785992944
