,0
0,-24.778694823794048
1,-24.680547583303834
2,-24.582400342813617
3,-24.484253102323404
4,-24.38610586183319
5,-24.287958621342977
6,-24.18981138085276
7,-24.091664140362546
8,-23.993516899872333
9,-23.89536965938212
10,-23.797222418891902
11,-23.69907517840169
12,-23.600927937911475
13,-23.50278069742126
14,-23.404633456931045
15,-23.30648621644083
16,-23.208338975950618
17,-23.110191735460404
18,-23.012044494970187
19,-22.913897254479973
20,-22.81575001398976
21,-22.717602773499543
22,-22.61945553300933
23,-22.521308292519116
24,-22.423161052028902
25,-22.32501381153869
26,-22.226866571048472
27,-22.12871933055826
28,-22.030572090068045
29,-21.932424849577828
30,-21.834277609087614
31,-21.7361303685974
32,-21.637983128107187
33,-21.53983588761697
34,-21.441688647126757
35,-21.343541406636543
36,-21.24539416614633
37,-21.147246925656113
38,-21.0490996851659
39,-20.950952444675686
40,-20.852805204185472
41,-20.754657963695255
42,-20.65651072320504
43,-20.558363482714828
44,-20.46021624222461
45,-20.362069001734397
46,-20.263921761244184
47,-20.16577452075397
48,-20.067627280263757
49,-19.96948003977354
50,-19.871332799283326
51,-19.773185558793113
52,-19.675038318302896
53,-19.576891077812682
54,-19.47874383732247
55,-19.380596596832255
56,-19.28244935634204
57,-19.184302115851825
58,-19.08615487536161
59,-18.988007634871394
60,-18.88986039438118
61,-18.791713153890967
62,-18.693565913400754
63,-18.59541867291054
64,-18.497271432420323
65,-18.39912419193011
66,-18.300976951439896
67,-18.20282971094968
68,-18.104682470459466
69,-18.006535229969252
70,-17.90838798947904
71,-17.810240748988825
72,-17.712093508498608
73,-17.613946268008394
74,-17.51579902751818
75,-17.417651787027964
76,-17.31950454653775
77,-17.221357306047537
78,-17.123210065557323
79,-17.025062825067106
80,-16.926915584576893
81,-16.82876834408668
82,-16.730621103596462
83,-16.63247386310625
84,-16.534326622616035
85,-16.43617938212582
86,-16.33803214163561
87,-16.23988490114539
88,-16.141737660655178
89,-16.04359042016496
90,-15.945443179674749
91,-15.847295939184534
92,-15.74914869869432
93,-15.651001458204105
94,-15.552854217713891
95,-15.454706977223676
96,-15.356559736733463
97,-15.258412496243247
98,-15.160265255753034
99,-15.062118015262818
100,-14.963970774772605
101,-14.86582353428239
102,-14.767676293792176
103,-14.66952905330196
104,-14.571381812811747
105,-14.473234572321532
106,-14.375087331831319
107,-14.276940091341103
108,-14.178792850850888
109,-14.080645610360675
110,-13.98249836987046
111,-13.884351129380246
112,-13.78620388889003
113,-13.688056648399817
114,-13.589909407909602
115,-13.491762167419388
116,-13.393614926929173
117,-13.29546768643896
118,-13.197320445948744
119,-13.09917320545853
120,-13.001025964968315
121,-12.902878724478102
122,-12.804731483987887
123,-12.706584243497673
124,-12.608437003007458
125,-12.510289762517244
126,-12.412142522027029
127,-12.313995281536815
128,-12.2158480410466
129,-12.117700800556385
130,-12.019553560066171
131,-11.921406319575956
132,-11.823259079085743
133,-11.725111838595527
134,-11.626964598105314
135,-11.528817357615099
136,-11.430670117124885
137,-11.33252287663467
138,-11.234375636144456
139,-11.136228395654241
140,-11.038081155164027
141,-10.939933914673812
142,-10.841786674183599
143,-10.743639433693383
144,-10.64549219320317
145,-10.547344952712955
146,-10.449197712222741
147,-10.351050471732526
148,-10.252903231242312
149,-10.154755990752097
150,-10.056608750261882
151,-9.958461509771668
152,-9.860314269281453
153,-9.76216702879124
154,-9.664019788301024
155,-9.56587254781081
156,-9.467725307320595
157,-9.369578066830382
158,-9.271430826340167
159,-9.173283585849953
160,-9.075136345359738
161,-8.976989104869524
162,-8.878841864379309
163,-8.780694623889095
164,-8.68254738339888
165,-8.584400142908667
166,-8.486252902418453
167,-8.388105661928236
168,-8.289958421438023
169,-8.19181118094781
170,-8.093663940457596
171,-7.995516699967379
172,-7.897369459477165
173,-7.799222218986952
174,-7.7010749784967345
175,-7.602927738006521
176,-7.5047804975163075
177,-7.406633257026094
178,-7.308486016535877
179,-7.210338776045663
180,-7.11219153555545
181,-7.014044295065236
182,-6.915897054575019
183,-6.817749814084806
184,-6.719602573594592
185,-6.621455333104379
186,-6.523308092614162
187,-6.425160852123948
188,-6.327013611633735
189,-6.228866371143521
190,-6.130719130653304
191,-6.032571890163091
192,-5.934424649672877
193,-5.83627740918266
194,-5.738130168692447
195,-5.639982928202233
196,-5.54183568771202
197,-5.443688447221803
198,-5.345541206731589
199,-5.2473939662413756
200,-5.149246725751162
201,-5.051099485260945
202,-4.9529522447707315
203,-4.854805004280518
204,-4.7566577637903045
205,-4.658510523300087
206,-4.560363282809874
207,-4.46221604231966
208,-4.364068801829447
209,-4.26592156133923
210,-4.167774320849016
211,-4.069627080358803
212,-3.9714798398685893
213,-3.8733325993783723
214,-3.7751853588881588
215,-3.6770381183979453
216,-3.578890877907728
217,-3.4807436374175147
218,-3.382596396927301
219,-3.2844491564370877
220,-3.1863019159468706
221,-3.088154675456657
