,0
0,-22.06296542019423
1,-21.978171015584838
2,-21.89337661097544
3,-21.808582206366047
4,-21.723787801756654
5,-21.63899339714726
6,-21.554198992537863
7,-21.46940458792847
8,-21.384610183319076
9,-21.299815778709682
10,-21.215021374100285
11,-21.13022696949089
12,-21.045432564881498
13,-20.960638160272104
14,-20.875843755662707
15,-20.791049351053314
16,-20.70625494644392
17,-20.621460541834526
18,-20.53666613722513
19,-20.451871732615736
20,-20.367077328006342
21,-20.28228292339695
22,-20.19748851878755
23,-20.112694114178158
24,-20.027899709568764
25,-19.943105304959367
26,-19.858310900349974
27,-19.77351649574058
28,-19.688722091131186
29,-19.60392768652179
30,-19.519133281912396
31,-19.434338877303002
32,-19.34954447269361
33,-19.26475006808421
34,-19.179955663474818
35,-19.095161258865424
36,-19.01036685425603
37,-18.925572449646634
38,-18.84077804503724
39,-18.755983640427846
40,-18.671189235818453
41,-18.586394831209056
42,-18.501600426599662
43,-18.41680602199027
44,-18.33201161738087
45,-18.247217212771478
46,-18.162422808162084
47,-18.07762840355269
48,-17.992833998943297
49,-17.9080395943339
50,-17.823245189724506
51,-17.738450785115113
52,-17.653656380505716
53,-17.568861975896322
54,-17.48406757128693
55,-17.39927316667753
56,-17.314478762068138
57,-17.229684357458744
58,-17.14488995284935
59,-17.060095548239957
60,-16.97530114363056
61,-16.890506739021166
62,-16.805712334411773
63,-16.720917929802376
64,-16.636123525192982
65,-16.55132912058359
66,-16.466534715974195
67,-16.3817403113648
68,-16.296945906755404
69,-16.21215150214601
70,-16.127357097536617
71,-16.04256269292722
72,-15.957768288317826
73,-15.872973883708433
74,-15.788179479099039
75,-15.703385074489642
76,-15.618590669880248
77,-15.533796265270855
78,-15.44900186066146
79,-15.364207456052064
80,-15.27941305144267
81,-15.194618646833277
82,-15.109824242223882
83,-15.025029837614486
84,-14.940235433005093
85,-14.855441028395699
86,-14.770646623786304
87,-14.685852219176908
88,-14.601057814567515
89,-14.516263409958121
90,-14.431469005348726
