,0
0,-38.21790041976857
1,-38.116505797121135
2,-38.0151111744737
3,-37.91371655182627
4,-37.812321929178836
5,-37.71092730653141
6,-37.60953268388398
7,-37.508138061236544
8,-37.40674343858911
9,-37.30534881594168
10,-37.203954193294244
11,-37.10255957064681
12,-37.00116494799938
13,-36.899770325351945
14,-36.79837570270452
15,-36.696981080057085
16,-36.59558645740965
17,-36.49419183476222
18,-36.392797212114786
19,-36.29140258946735
20,-36.19000796681992
21,-36.08861334417249
22,-35.98721872152505
23,-35.88582409887763
24,-35.784429476230194
25,-35.68303485358276
26,-35.58164023093533
27,-35.480245608287895
28,-35.37885098564046
29,-35.27745636299303
30,-35.176061740345595
31,-35.07466711769817
32,-34.973272495050736
33,-34.8718778724033
34,-34.77048324975587
35,-34.66908862710844
36,-34.567694004461
37,-34.46629938181357
38,-34.36490475916614
39,-34.263510136518704
40,-34.16211551387127
41,-34.060720891223845
42,-33.95932626857641
43,-33.85793164592898
44,-33.756537023281545
45,-33.65514240063411
46,-33.55374777798668
47,-33.452353155339246
48,-33.35095853269182
49,-33.24956391004439
50,-33.148169287396954
51,-33.04677466474952
52,-32.94538004210209
53,-32.843985419454654
54,-32.74259079680722
55,-32.64119617415979
56,-32.539801551512355
57,-32.43840692886492
58,-32.337012306217495
59,-32.23561768357006
60,-32.13422306092263
61,-32.032828438275196
62,-31.931433815627763
63,-31.83003919298033
64,-31.728644570332897
65,-31.627249947685467
66,-31.525855325038034
67,-31.4244607023906
68,-31.32306607974317
69,-31.221671457095738
70,-31.120276834448305
71,-31.01888221180087
72,-30.91748758915344
73,-30.816092966506005
74,-30.714698343858576
75,-30.613303721211143
76,-30.51190909856371
77,-30.41051447591628
78,-30.309119853268847
79,-30.207725230621413
80,-30.10633060797398
81,-30.004935985326547
82,-29.903541362679114
83,-29.802146740031684
84,-29.70075211738425
85,-29.59935749473682
86,-29.49796287208939
87,-29.396568249441955
88,-29.295173626794522
89,-29.19377900414709
90,-29.092384381499656
91,-28.990989758852223
92,-28.889595136204793
93,-28.78820051355736
94,-28.68680589090993
95,-28.585411268262497
96,-28.484016645615064
97,-28.38262202296763
98,-28.281227400320198
99,-28.179832777672765
100,-28.07843815502533
101,-27.977043532377902
102,-27.87564890973047
103,-27.77425428708304
104,-27.672859664435606
105,-27.571465041788173
106,-27.47007041914074
107,-27.368675796493307
108,-27.267281173845873
109,-27.16588655119844
110,-27.06449192855101
111,-26.963097305903577
112,-26.861702683256148
113,-26.760308060608715
114,-26.65891343796128
115,-26.55751881531385
116,-26.456124192666415
117,-26.354729570018982
118,-26.25333494737155
119,-26.15194032472412
120,-26.050545702076686
121,-25.949151079429257
122,-25.847756456781823
123,-25.74636183413439
124,-25.644967211486957
125,-25.543572588839524
126,-25.44217796619209
127,-25.34078334354466
128,-25.239388720897228
129,-25.137994098249795
130,-25.036599475602365
131,-24.935204852954932
132,-24.8338102303075
133,-24.732415607660066
134,-24.631020985012633
135,-24.5296263623652
136,-24.42823173971777
137,-24.326837117070337
138,-24.225442494422907
139,-24.124047871775474
140,-24.02265324912804
141,-23.921258626480608
142,-23.819864003833175
143,-23.71846938118574
144,-23.61707475853831
145,-23.51568013589088
146,-23.414285513243446
147,-23.312890890596016
148,-23.211496267948583
149,-23.11010164530115
150,-23.008707022653716
151,-22.907312400006283
152,-22.80591777735885
153,-22.704523154711417
154,-22.603128532063987
155,-22.501733909416554
156,-22.400339286769125
157,-22.29894466412169
158,-22.19755004147426
159,-22.096155418826825
160,-21.994760796179392
161,-21.89336617353196
162,-21.79197155088453
163,-21.690576928237096
164,-21.589182305589663
165,-21.48778768294223
166,-21.3863930602948
167,-21.284998437647367
168,-21.183603814999934
169,-21.0822091923525
170,-20.98081456970507
171,-20.879419947057638
172,-20.778025324410205
173,-20.67663070176277
174,-20.57523607911534
175,-20.47384145646791
