,Regression
0,70.2425400480701
1,70.23598770983689
2,70.2294353716037
3,70.22288303337051
4,70.2163306951373
5,70.20977835690411
6,70.2032260186709
7,70.1966736804377
8,70.1901213422045
9,70.1835690039713
10,70.17701666573811
11,70.1704643275049
12,70.16391198927171
13,70.1573596510385
14,70.1508073128053
15,70.1442549745721
16,70.1377026363389
17,70.13115029810571
18,70.1245979598725
19,70.1180456216393
20,70.1114932834061
21,70.1049409451729
22,70.09838860693971
23,70.0918362687065
24,70.08528393047331
25,70.0787315922401
26,70.0721792540069
27,70.0656269157737
28,70.0590745775405
29,70.05252223930731
30,70.0459699010741
31,70.03941756284091
32,70.0328652246077
33,70.02631288637451
34,70.01976054814129
35,70.0132082099081
36,70.00665587167491
37,70.0001035334417
38,69.99355119520851
39,69.9869988569753
40,69.98044651874211
41,69.97389418050889
42,69.96734184227572
43,69.96078950404251
44,69.9542371658093
45,69.94768482757611
46,69.9411324893429
47,69.93458015110971
48,69.92802781287651
49,69.92147547464332
50,69.91492313641011
51,69.9083707981769
52,69.90181845994371
53,69.8952661217105
54,69.88871378347731
55,69.88216144524411
56,69.87560910701092
57,69.86905676877771
58,69.86250443054452
59,69.85595209231131
60,69.8493997540781
61,69.84284741584491
62,69.83629507761171
63,69.82974273937852
64,69.82319040114531
65,69.81663806291212
66,69.81008572467891
67,69.80353338644572
68,69.79698104821252
69,69.79042870997931
70,69.78387637174612
71,69.77732403351291
72,69.77077169527972
73,69.76421935704651
74,69.75766701881332
75,69.75111468058012
76,69.74456234234692
77,69.73801000411372
78,69.73145766588051
79,69.72490532764732
80,69.71835298941411
81,69.71180065118092
82,69.70524831294772
83,69.69869597471452
84,69.69214363648132
85,69.68559129824811
86,69.67903896001492
87,69.67248662178172
88,69.66593428354852
89,69.65938194531532
90,69.65282960708213
91,69.64627726884892
92,69.63972493061573
93,69.63317259238252
94,69.62662025414932
95,69.62006791591612
96,69.61351557768292
97,69.60696323944973
98,69.60041090121652
99,69.59385856298333
100,69.58730622475012
101,69.58075388651693
102,69.57420154828372
103,69.56764921005052
104,69.56109687181733
105,69.55454453358412
106,69.54799219535093
107,69.54143985711772
108,69.53488751888453
109,69.52833518065133
110,69.52178284241813
111,69.51523050418493
112,69.50867816595172
113,69.50212582771853
114,69.49557348948532
115,69.48902115125213
116,69.48246881301893
117,69.47591647478573
118,69.46936413655253
119,69.46281179831932
120,69.45625946008613
121,69.44970712185292
122,69.44315478361973
123,69.43660244538654
124,69.43005010715333
125,69.42349776892013
126,69.41694543068694
127,69.41039309245373
128,69.40384075422052
129,69.39728841598733
130,69.39073607775414
131,69.38418373952094
132,69.37763140128773
133,69.37107906305454
134,69.36452672482133
135,69.35797438658814
136,69.35142204835493
137,69.34486971012173
138,69.33831737188854
139,69.33176503365533
140,69.32521269542214
141,69.31866035718893
142,69.31210801895574
143,69.30555568072253
144,69.29900334248934
145,69.29245100425614
146,69.28589866602293
147,69.27934632778974
148,69.27279398955653
149,69.26624165132334
150,69.25968931309013
151,69.25313697485694
152,69.24658463662375
153,69.24003229839053
154,69.23347996015735
155,69.22692762192413
156,69.22037528369094
157,69.21382294545775
158,69.20727060722454
159,69.20071826899135
160,69.19416593075815
161,69.18761359252494
162,69.18106125429172
163,69.17450891605854
164,69.16795657782535
165,69.16140423959214
166,69.15485190135894
167,69.14829956312575
168,69.14174722489254
169,69.13519488665935
170,69.12864254842614
171,69.12209021019294
172,69.11553787195976
173,69.10898553372654
174,69.10243319549336
175,69.09588085726014
176,69.08932851902695
177,69.08277618079374
178,69.07622384256055
179,69.06967150432736
180,69.06311916609414
181,69.05656682786096
182,69.05001448962774
183,69.04346215139455
184,69.03690981316134
185,69.03035747492815
186,69.02380513669496
187,69.01725279846174
188,69.01070046022855
189,69.00414812199534
190,68.99759578376215
191,68.99104344552893
192,68.98449110729575
193,68.97793876906255
194,68.97138643082937
195,68.96483409259615
196,68.95828175436293
197,68.95172941612975
198,68.94517707789655
199,68.93862473966335
200,68.93207240143015
201,68.92552006319697
202,68.91896772496375
203,68.91241538673057
204,68.90586304849735
205,68.89931071026415
206,68.89275837203095
207,68.88620603379775
208,68.87965369556457
209,68.87310135733135
210,68.86654901909816
211,68.85999668086495
212,68.85344434263176
213,68.84689200439854
214,68.84033966616535
215,68.83378732793216
216,68.82723498969895
217,68.82068265146576
218,68.81413031323254
219,68.80757797499936
220,68.80102563676616
221,68.79447329853295
222,68.78792096029976
223,68.78136862206655
224,68.77481628383336
225,68.76826394560015
226,68.76171160736696
227,68.75515926913376
228,68.74860693090056
229,68.74205459266736
230,68.73550225443415
231,68.72894991620096
232,68.72239757796775
233,68.71584523973456
234,68.70929290150136
235,68.70274056326815
236,68.69618822503496
237,68.68963588680178
238,68.68308354856856
239,68.67653121033536
240,68.66997887210215
241,68.66342653386896
242,68.65687419563578
243,68.65032185740256
244,68.64376951916937
245,68.63721718093616
246,68.63066484270297
247,68.62411250446976
248,68.61756016623656
249,68.61100782800337
250,68.60445548977016
251,68.59790315153697
252,68.59135081330376
253,68.58479847507057
254,68.57824613683736
255,68.57169379860416
256,68.56514146037097
257,68.55858912213776
258,68.55203678390457
259,68.54548444567136
260,68.53893210743817
261,68.53237976920497
262,68.52582743097177
263,68.51927509273857
264,68.51272275450536
265,68.50617041627217
266,68.49961807803896
267,68.49306573980577
268,68.48651340157257
269,68.47996106333936
270,68.47340872510617
271,68.46685638687298
272,68.46030404863977
273,68.45375171040656
274,68.44719937217337
275,68.44064703394017
276,68.43409469570697
277,68.42754235747377
278,68.42099001924058
279,68.41443768100737
280,68.40788534277418
281,68.40133300454097
282,68.39478066630777
283,68.38822832807458
284,68.38167598984137
285,68.37512365160818
286,68.36857131337497
287,68.36201897514178
288,68.35546663690857
