,Regression
0,63.621256202661364
1,63.60188842162373
2,63.58252064058612
3,63.5631528595485
4,63.543785078510886
5,63.524417297473256
6,63.50504951643564
7,63.485681735398025
8,63.4663139543604
9,63.446946173322786
10,63.427578392285156
11,63.40821061124754
12,63.388842830209924
13,63.369475049172294
14,63.35010726813469
15,63.33073948709706
16,63.31137170605944
17,63.29200392502182
18,63.2726361439842
19,63.25326836294658
20,63.23390058190896
21,63.21453280087135
22,63.195165019833716
23,63.17579723879611
24,63.15642945775849
25,63.13706167672087
26,63.11769389568325
27,63.09832611464564
28,63.07895833360801
29,63.05959055257039
30,63.040222771532775
31,63.02085499049514
32,63.00148720945753
33,62.98211942841991
34,62.96275164738229
35,62.94338386634467
36,62.924016085307045
37,62.90464830426943
38,62.88528052323181
39,62.86591274219418
40,62.846544961156575
41,62.82717718011895
42,62.80780939908134
43,62.788441618043706
44,62.769073837006104
45,62.749706055968474
46,62.73033827493086
47,62.71097049389324
48,62.691602712855605
49,62.672234931818
50,62.65286715078037
51,62.63349936974276
52,62.61413158870514
53,62.59476380766752
54,62.575396026629896
55,62.55602824559228
56,62.53666046455465
57,62.517292683517034
58,62.49792490247942
59,62.478557121441796
60,62.45918934040418
61,62.43982155936656
62,62.420453778328934
63,62.40108599729132
64,62.3817182162537
65,62.36235043521607
66,62.342982654178456
67,62.32361487314084
68,62.30424709210322
69,62.284879311065595
70,62.26551153002799
71,62.24614374899036
72,62.22677596795275
73,62.207408186915124
74,62.1880404058775
75,62.168672624839886
76,62.14930484380227
77,62.12993706276465
78,62.11056928172703
79,62.0912015006894
80,62.071833719651785
81,62.05246593861417
82,62.03309815757655
83,62.01373037653892
84,61.99436259550131
85,61.97499481446369
86,61.955627033426076
87,61.936259252388446
88,61.91689147135083
89,61.897523690313214
90,61.87815590927559
91,61.858788128237975
92,61.83942034720035
93,61.82005256616273
94,61.800684785125114
95,61.7813170040875
96,61.76194922304988
97,61.74258144201225
98,61.723213660974636
99,61.70384587993701
100,61.684478098899405
101,61.66511031786179
102,61.64574253682416
103,61.62637475578654
104,61.60700697474893
105,61.5876391937113
106,61.56827141267368
107,61.548903631636065
108,61.52953585059844
109,61.51016806956083
110,61.490800288523204
111,61.47143250748558
112,61.452064726447965
113,61.43269694541035
114,61.41332916437272
115,61.3939613833351
116,61.37459360229748
117,61.355225821259864
118,61.33585804022224
119,61.31649025918464
120,61.297122478147
121,61.277754697109394
122,61.25838691607176
123,61.23901913503414
124,61.21965135399653
125,61.200283572958895
126,61.180915791921294
127,61.161548010883656
128,61.14218022984605
129,61.122812448808425
130,61.103444667770816
131,61.084076886733186
132,61.06470910569557
133,61.045341324657954
134,61.02597354362033
135,61.006605762582716
136,60.98723798154509
137,60.96787020050747
138,60.948502419469854
139,60.929134638432224
140,60.90976685739461
141,60.89039907635699
142,60.87103129531937
143,60.851663514281746
144,60.83229573324413
145,60.81292795220653
146,60.79356017116889
147,60.77419239013128
148,60.754824609093646
149,60.73545682805604
150,60.71608904701842
151,60.6967212659808
152,60.67735348494318
153,60.657985703905545
154,60.63861792286794
155,60.61925014183032
156,60.599882360792705
157,60.580514579755075
158,60.56114679871746
159,60.54177901767984
160,60.52241123664222
161,60.5030434556046
162,60.483675674566975
163,60.46430789352936
164,60.44494011249174
165,60.42557233145411
166,60.4062045504165
167,60.38683676937888
168,60.36746898834126
169,60.348101207303635
170,60.32873342626602
171,60.3093656452284
172,60.28999786419078
173,60.27063008315317
174,60.251262302115535
175,60.231894521077926
176,60.212526740040296
177,60.19315895900269
178,60.17379117796506
179,60.15442339692745
180,60.135055615889826
181,60.11568783485221
182,60.096320053814594
183,60.07695227277696
184,60.05758449173935
185,60.038216710701725
186,60.01884892966411
187,59.99948114862649
188,59.980113367588864
189,59.96074558655125
190,59.94137780551363
191,59.922010024476
192,59.902642243438386
193,59.88327446240077
194,59.86390668136315
195,59.844538900325524
196,59.82517111928792
197,59.80580333825029
198,59.78643555721267
199,59.76706777617506
200,59.74769999513743
201,59.728332214099815
202,59.70896443306219
203,59.689596652024576
204,59.67022887098696
205,59.65086108994934
206,59.631493308911715
207,59.6121255278741
208,59.59275774683648
209,59.57338996579885
210,59.55402218476124
211,59.53465440372362
212,59.515286622686006
213,59.495918841648376
214,59.47655106061076
215,59.457183279573144
216,59.43781549853553
217,59.418447717497905
218,59.39907993646028
219,59.37971215542266
220,59.36034437438504
221,59.34097659334743
222,59.32160881230981
223,59.30224103127218
224,59.282873250234566
225,59.26350546919694
